id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end
01001001001	01001001	Au				
01001001002	01001001	commencement	y			
01001001003	01001001	,		y		
01001001004	01001001	Dieu				
01001001005	01001001	créa				
01001001006	01001001	les				
01001001007	01001001	cieux				
01001001008	01001001	et				
01001001009	01001001	la				
01001001010	01001001	terre	y			
01001001011	01001001	.		y		
01001002001	01001002	La				
01001002002	01001002	terre				
01001002003	01001002	était				
01001002004	01001002	informe				
01001002005	01001002	et				
01001002006	01001002	vide	y			
01001002007	01001002	:		y		
01001002008	01001002	il				
01001002009	01001002	y				
01001002010	01001002	avait				
01001002011	01001002	des				
01001002012	01001002	ténèbres				
01001002013	01001002	à				
01001002014	01001002	la				
01001002015	01001002	surface				
01001002016	01001002	de				
01001002017	01001002	l’	y			
01001002018	01001002	abîme	y			
01001002019	01001002	,		y		
01001002020	01001002	et				
01001002021	01001002	l’	y			
01001002022	01001002	esprit				
01001002023	01001002	de				
01001002024	01001002	Dieu				
01001002025	01001002	se				
01001002026	01001002	mouvait				
01001002027	01001002	au-dessus				
01001002028	01001002	des				
01001002029	01001002	eaux	y			
01001002030	01001002	.		y		
01001003001	01001003	Dieu				
01001003002	01001003	dit	y			
01001003003	01001003	:		y		
01001003004	01001003	Que				
01001003005	01001003	la				
01001003006	01001003	lumière				
01001003007	01001003	soit	y			
01001003008	01001003	!		y		
01001003009	01001003	Et				
01001003010	01001003	la				
01001003011	01001003	lumière				
01001003012	01001003	fut	y			
01001003013	01001003	.		y		
01001004001	01001004	Dieu				
01001004002	01001004	vit				
01001004003	01001004	que				
01001004004	01001004	la				
01001004005	01001004	lumière				
01001004006	01001004	était				
01001004007	01001004	bonne	y			
01001004008	01001004	;		y		
01001004009	01001004	et				
01001004010	01001004	Dieu				
01001004011	01001004	sépara				
01001004012	01001004	la				
01001004013	01001004	lumière				
01001004014	01001004	d’	y			
01001004015	01001004	avec				
01001004016	01001004	les				
01001004017	01001004	ténèbres	y			
01001004018	01001004	.		y		
01001005001	01001005	Dieu				
01001005002	01001005	appela				
01001005003	01001005	la				
01001005004	01001005	lumière				
01001005005	01001005	jour	y			
01001005006	01001005	,		y		
01001005007	01001005	et				
01001005008	01001005	il				
01001005009	01001005	appela				
01001005010	01001005	les				
01001005011	01001005	ténèbres				
01001005012	01001005	nuit	y			
01001005013	01001005	.		y		
01001005014	01001005	Ainsi	y			
01001005015	01001005	,		y		
01001005016	01001005	il				
01001005017	01001005	y				
01001005018	01001005	eut				
01001005019	01001005	un				
01001005020	01001005	soir	y			
01001005021	01001005	,		y		
01001005022	01001005	et				
01001005023	01001005	il				
01001005024	01001005	y				
01001005025	01001005	eut				
01001005026	01001005	un				
01001005027	01001005	matin	y			
01001005028	01001005	:		y		
01001005029	01001005	ce				
01001005030	01001005	fut				
01001005031	01001005	le				
01001005032	01001005	premier				
01001005033	01001005	jour	y			
01001005034	01001005	.		y		
01001006001	01001006	Dieu				
01001006002	01001006	dit	y			
01001006003	01001006	:		y		
01001006004	01001006	Qu’	y			
01001006005	01001006	il				
01001006006	01001006	y				
01001006007	01001006	ait				
01001006008	01001006	une				
01001006009	01001006	étendue				
01001006010	01001006	entre				
01001006011	01001006	les				
01001006012	01001006	eaux	y			
01001006013	01001006	,		y		
01001006014	01001006	et				
01001006015	01001006	qu’	y			
01001006016	01001006	elle				
01001006017	01001006	sépare				
01001006018	01001006	les				
01001006019	01001006	eaux				
01001006020	01001006	d’	y			
01001006021	01001006	avec				
01001006022	01001006	les				
01001006023	01001006	eaux	y			
01001006024	01001006	.		y		
01001007001	01001007	Et				
01001007002	01001007	Dieu				
01001007003	01001007	fit				
01001007004	01001007	l’	y			
01001007005	01001007	étendue	y			
01001007006	01001007	,		y		
01001007007	01001007	et				
01001007008	01001007	il				
01001007009	01001007	sépara				
01001007010	01001007	les				
01001007011	01001007	eaux				
01001007012	01001007	qui				
01001007013	01001007	sont				
01001007014	01001007	au-dessous				
01001007015	01001007	de				
01001007016	01001007	l’	y			
01001007017	01001007	étendue				
01001007018	01001007	d’	y			
01001007019	01001007	avec				
01001007020	01001007	les				
01001007021	01001007	eaux				
01001007022	01001007	qui				
01001007023	01001007	sont				
01001007024	01001007	au-dessus				
01001007025	01001007	de				
01001007026	01001007	l’	y			
01001007027	01001007	étendue	y			
01001007028	01001007	.		y		
01001007029	01001007	Et				
01001007030	01001007	cela				
01001007031	01001007	fut				
01001007032	01001007	ainsi	y			
01001007033	01001007	.		y		
01001008001	01001008	Dieu				
01001008002	01001008	appela				
01001008003	01001008	l’	y			
01001008004	01001008	étendue				
01001008005	01001008	ciel	y			
01001008006	01001008	.		y		
01001008007	01001008	Ainsi	y			
01001008008	01001008	,		y		
01001008009	01001008	il				
01001008010	01001008	y				
01001008011	01001008	eut				
01001008012	01001008	un				
01001008013	01001008	soir	y			
01001008014	01001008	,		y		
01001008015	01001008	et				
01001008016	01001008	il				
01001008017	01001008	y				
01001008018	01001008	eut				
01001008019	01001008	un				
01001008020	01001008	matin	y			
01001008021	01001008	:		y		
01001008022	01001008	ce				
01001008023	01001008	fut				
01001008024	01001008	le				
01001008025	01001008	second				
01001008026	01001008	jour	y			
01001008027	01001008	.		y		
01001009001	01001009	Dieu				
01001009002	01001009	dit	y			
01001009003	01001009	:		y		
01001009004	01001009	Que				
01001009005	01001009	les				
01001009006	01001009	eaux				
01001009007	01001009	qui				
01001009008	01001009	sont				
01001009009	01001009	au-dessous				
01001009010	01001009	du				
01001009011	01001009	ciel				
01001009012	01001009	se				
01001009013	01001009	rassemblent				
01001009014	01001009	en				
01001009015	01001009	un				
01001009016	01001009	seul				
01001009017	01001009	lieu	y			
01001009018	01001009	,		y		
01001009019	01001009	et				
01001009020	01001009	que				
01001009021	01001009	le				
01001009022	01001009	sec				
01001009023	01001009	paraisse	y			
01001009024	01001009	.		y		
01001009025	01001009	Et				
01001009026	01001009	cela				
01001009027	01001009	fut				
01001009028	01001009	ainsi	y			
01001009029	01001009	.		y		
01001010001	01001010	Dieu				
01001010002	01001010	appela				
01001010003	01001010	le				
01001010004	01001010	sec				
01001010005	01001010	terre	y			
01001010006	01001010	,		y		
01001010007	01001010	et				
01001010008	01001010	il				
01001010009	01001010	appela				
01001010010	01001010	l’	y			
01001010011	01001010	amas				
01001010012	01001010	des				
01001010013	01001010	eaux				
01001010014	01001010	mers	y			
01001010015	01001010	.		y		
01001010016	01001010	Dieu				
01001010017	01001010	vit				
01001010018	01001010	que				
01001010019	01001010	cela				
01001010020	01001010	était				
01001010021	01001010	bon	y			
01001010022	01001010	.		y		
01001011001	01001011	Puis				
01001011002	01001011	Dieu				
01001011003	01001011	dit	y			
01001011004	01001011	:		y		
01001011005	01001011	Que				
01001011006	01001011	la				
01001011007	01001011	terre				
01001011008	01001011	produise				
01001011009	01001011	de				
01001011010	01001011	la				
01001011011	01001011	verdure	y			
01001011012	01001011	,		y		
01001011013	01001011	de				
01001011014	01001011	l’	y			
01001011015	01001011	herbe				
01001011016	01001011	portant				
01001011017	01001011	de				
01001011018	01001011	la				
01001011019	01001011	semence	y			
01001011020	01001011	,		y		
01001011021	01001011	des				
01001011022	01001011	arbres				
01001011023	01001011	fruitiers				
01001011024	01001011	donnant				
01001011025	01001011	du				
01001011026	01001011	fruit				
01001011027	01001011	selon				
01001011028	01001011	leur				
01001011029	01001011	espèce				
01001011030	01001011	et				
01001011031	01001011	ayant				
01001011032	01001011	en				
01001011033	01001011	eux				
01001011034	01001011	leur				
01001011035	01001011	semence				
01001011036	01001011	sur				
01001011037	01001011	la				
01001011038	01001011	terre	y			
01001011039	01001011	.		y		
01001011040	01001011	Et				
01001011041	01001011	cela				
01001011042	01001011	fut				
01001011043	01001011	ainsi	y			
01001011044	01001011	.		y		
01001012001	01001012	La				
01001012002	01001012	terre				
01001012003	01001012	produisit				
01001012004	01001012	de				
01001012005	01001012	la				
01001012006	01001012	verdure	y			
01001012007	01001012	,		y		
01001012008	01001012	de				
01001012009	01001012	l’	y			
01001012010	01001012	herbe				
01001012011	01001012	portant				
01001012012	01001012	de				
01001012013	01001012	la				
01001012014	01001012	semence				
01001012015	01001012	selon				
01001012016	01001012	son				
01001012017	01001012	espèce	y			
01001012018	01001012	,		y		
01001012019	01001012	et				
01001012020	01001012	des				
01001012021	01001012	arbres				
01001012022	01001012	donnant				
01001012023	01001012	du				
01001012024	01001012	fruit				
01001012025	01001012	et				
01001012026	01001012	ayant				
01001012027	01001012	en				
01001012028	01001012	eux				
01001012029	01001012	leur				
01001012030	01001012	semence				
01001012031	01001012	selon				
01001012032	01001012	leur				
01001012033	01001012	espèce	y			
01001012034	01001012	.		y		
01001012035	01001012	Dieu				
01001012036	01001012	vit				
01001012037	01001012	que				
01001012038	01001012	cela				
01001012039	01001012	était				
01001012040	01001012	bon	y			
01001012041	01001012	.		y		
01001013001	01001013	Ainsi	y			
01001013002	01001013	,		y		
01001013003	01001013	il				
01001013004	01001013	y				
01001013005	01001013	eut				
01001013006	01001013	un				
01001013007	01001013	soir	y			
01001013008	01001013	,		y		
01001013009	01001013	et				
01001013010	01001013	il				
01001013011	01001013	y				
01001013012	01001013	eut				
01001013013	01001013	un				
01001013014	01001013	matin	y			
01001013015	01001013	:		y		
01001013016	01001013	ce				
01001013017	01001013	fut				
01001013018	01001013	le				
01001013019	01001013	troisième				
01001013020	01001013	jour	y			
01001013021	01001013	.		y		
01001014001	01001014	Dieu				
01001014002	01001014	dit	y			
01001014003	01001014	:		y		
01001014004	01001014	Qu’	y			
01001014005	01001014	il				
01001014006	01001014	y				
01001014007	01001014	ait				
01001014008	01001014	des				
01001014009	01001014	luminaires				
01001014010	01001014	dans				
01001014011	01001014	l’	y			
01001014012	01001014	étendue				
01001014013	01001014	du				
01001014014	01001014	ciel	y			
01001014015	01001014	,		y		
01001014016	01001014	pour				
01001014017	01001014	séparer				
01001014018	01001014	le				
01001014019	01001014	jour				
01001014020	01001014	d’	y			
01001014021	01001014	avec				
01001014022	01001014	la				
01001014023	01001014	nuit	y			
01001014024	01001014	;		y		
01001014025	01001014	que				
01001014026	01001014	ce				
01001014027	01001014	soient				
01001014028	01001014	des				
01001014029	01001014	signes				
01001014030	01001014	pour				
01001014031	01001014	marquer				
01001014032	01001014	les				
01001014033	01001014	époques	y			
01001014034	01001014	,		y		
01001014035	01001014	les				
01001014036	01001014	jours				
01001014037	01001014	et				
01001014038	01001014	les				
