id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end	required
40001001001	40001001	Le					y
40001001002	40001001	livre					y
40001001003	40001001	de					y
40001001004	40001001	la					y
40001001005	40001001	généalogie					y
40001001006	40001001	de					y
40001001007	40001001	Jésus-Christ	y				y
40001001008	40001001	,		y			n
40001001009	40001001	fils					y
40001001010	40001001	de					y
40001001011	40001001	David	y				y
40001001012	40001001	,		y			n
40001001013	40001001	et					y
40001001014	40001001	fils					y
40001001015	40001001	d'	y				y
40001001016	40001001	Abraham	y				y
40001001017	40001001	.		y			n
40001002001	40001002	Abraham					y
40001002002	40001002	était					y
40001002003	40001002	le					y
40001002004	40001002	père					y
40001002005	40001002	d'	y				y
40001002006	40001002	Isaac	y				y
40001002007	40001002	,		y			n
40001002008	40001002	et					y
40001002009	40001002	Isaac					y
40001002010	40001002	le					y
40001002011	40001002	père					y
40001002012	40001002	de					y
40001002013	40001002	Jacob	y				y
40001002014	40001002	,		y			n
40001002015	40001002	et					y
40001002016	40001002	Jacob					y
40001002017	40001002	le					y
40001002018	40001002	père					y
40001002019	40001002	de					y
40001002020	40001002	Juda					y
40001002021	40001002	et					y
40001002022	40001002	de					y
40001002023	40001002	ses					y
40001002024	40001002	frères	y				y
40001002025	40001002	.		y			n
40001003001	40001003	Juda					y
40001003002	40001003	était					y
40001003003	40001003	le					y
40001003004	40001003	père					y
40001003005	40001003	de					y
40001003006	40001003	Pharès					y
40001003007	40001003	et					y
40001003008	40001003	de					y
40001003009	40001003	Zara	y				y
40001003010	40001003	,		y			n
40001003011	40001003	et					y
40001003012	40001003	leur					y
40001003013	40001003	mère					y
40001003014	40001003	était					y
40001003015	40001003	Thamar	y				y
40001003016	40001003	.		y			n
40001003017	40001003	Pharès					y
40001003018	40001003	était					y
40001003019	40001003	le					y
40001003020	40001003	père					y
40001003021	40001003	de					y
40001003022	40001003	Esrom	y				y
40001003023	40001003	.		y			n
40001003024	40001003	Esrom					y
40001003025	40001003	était					y
40001003026	40001003	le					y
40001003027	40001003	père					y
40001003028	40001003	de					y
40001003029	40001003	Aram	y				y
40001003030	40001003	.		y			n
40001004001	40001004	Aram					y
40001004002	40001004	était					y
40001004003	40001004	le					y
40001004004	40001004	père					y
40001004005	40001004	d'	y				y
40001004006	40001004	Aminadab	y				y
40001004007	40001004	.		y			n
40001004008	40001004	Aminadab					y
40001004009	40001004	était					y
40001004010	40001004	le					y
40001004011	40001004	père					y
40001004012	40001004	de					y
40001004013	40001004	Naasson	y				y
40001004014	40001004	.		y			n
40001004015	40001004	Naasson					y
40001004016	40001004	était					y
40001004017	40001004	le					y
40001004018	40001004	père					y
40001004019	40001004	de					y
40001004020	40001004	Salmon	y				y
40001004021	40001004	.		y			n
40001005001	40001005	Salmon					y
40001005002	40001005	et					y
40001005003	40001005	Rahab					y
40001005004	40001005	étaient					y
40001005005	40001005	les					y
40001005006	40001005	parents					y
40001005007	40001005	de					y
40001005008	40001005	Boaz	y				y
40001005009	40001005	.		y			n
40001005010	40001005	Boaz					y
40001005011	40001005	était					y
40001005012	40001005	le					y
40001005013	40001005	père					y
40001005014	40001005	d'	y				y
40001005015	40001005	Obed	y				y
40001005016	40001005	.		y			n
40001005017	40001005	La					y
40001005018	40001005	mère					y
40001005019	40001005	d'	y				y
40001005020	40001005	Obed					y
40001005021	40001005	était					y
40001005022	40001005	Ruth	y				y
40001005023	40001005	.		y			n
40001005024	40001005	Obed					y
40001005025	40001005	était					y
40001005026	40001005	le					y
40001005027	40001005	père					y
40001005028	40001005	de					y
40001005029	40001005	Jessé	y				y
40001005030	40001005	.		y			n
40001006001	40001006	Jessé					y
40001006002	40001006	était					y
40001006003	40001006	le					y
40001006004	40001006	père					y
40001006005	40001006	du					y
40001006006	40001006	roi					y
40001006007	40001006	David	y				y
40001006008	40001006	,		y			n
40001006009	40001006	et					y
40001006010	40001006	David					y
