id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end
40001001001	40001001	Tarihin				
40001001002	40001001	da				
40001001003	40001001	aka				
40001001004	40001001	rubuta				
40001001005	40001001	game				
40001001006	40001001	da				
40001001007	40001001	asalin				
40001001008	40001001	Yesu				
40001001009	40001001	Kiristi				
40001001010	40001001	ɗan				
40001001011	40001001	Dawuda	y			
40001001012	40001001	,		y		
40001001013	40001001	ɗan				
40001001014	40001001	Ibrahim	y			
40001001015	40001001	.		y		
40001002001	40001002	Ibrahim				
40001002002	40001002	ya				
40001002003	40001002	haifi				
40001002004	40001002	Ishaku	y			
40001002005	40001002	,		y		
40001002006	40001002	Ishaku				
40001002007	40001002	ya				
40001002008	40001002	haifi				
40001002009	40001002	Yaƙub	y			
40001002010	40001002	,		y		
40001002011	40001002	Yaƙub				
40001002012	40001002	ya				
40001002013	40001002	haifi				
40001002014	40001002	Yahuda				
40001002015	40001002	da				
40001002016	40001002	’	y	y		
40001002017	40001002	yan’uwansa	y			
40001002018	40001002	,		y		
40001003001	40001003	Yahuda				
40001003002	40001003	ya				
40001003003	40001003	haifi				
40001003004	40001003	Ferez				
40001003005	40001003	da				
40001003006	40001003	Zera	y			
40001003007	40001003	,		y		
40001003008	40001003	waɗanda				
40001003009	40001003	Tamar				
40001003010	40001003	ce				
40001003011	40001003	mahaifiyarsu	y			
40001003012	40001003	;		y		
40001003013	40001003	Ferez				
40001003014	40001003	ya				
40001003015	40001003	haifi				
40001003016	40001003	Hezron	y			
40001003017	40001003	,		y		
40001003018	40001003	Hezron				
40001003019	40001003	ya				
40001003020	40001003	haifi				
40001003021	40001003	Ram	y			
40001003022	40001003	,		y		
40001004001	40001004	Ram				
40001004002	40001004	ya				
40001004003	40001004	haifi				
40001004004	40001004	Amminadab	y			
40001004005	40001004	,		y		
40001004006	40001004	Amminadab				
40001004007	40001004	ya				
40001004008	40001004	haifi				
40001004009	40001004	Nashon	y			
40001004010	40001004	,		y		
40001004011	40001004	Nashon				
40001004012	40001004	ya				
40001004013	40001004	haifi				
40001004014	40001004	Salmon	y			
40001004015	40001004	,		y		
40001005001	40001005	Salmon				
40001005002	40001005	ya				
40001005003	40001005	haifi				
40001005004	40001005	Bowaz	y			
40001005005	40001005	,		y		
40001005006	40001005	wanda				
40001005007	40001005	Rahab				
40001005008	40001005	ce				
40001005009	40001005	mahaifiyarsa	y			
40001005010	40001005	,		y		
40001005011	40001005	Bowaz				
40001005012	40001005	ya				
40001005013	40001005	haifi				
40001005014	40001005	Obed	y			
40001005015	40001005	,		y		
40001005016	40001005	wanda				
40001005017	40001005	Rut				
40001005018	40001005	ce				
40001005019	40001005	mahaifiyarsa	y			
40001005020	40001005	,		y		
40001005021	40001005	Obed				
40001005022	40001005	ya				
40001005023	40001005	haifi				
40001005024	40001005	Yesse	y			
40001005025	40001005	,		y		
40001006001	40001006	Yesse				
40001006002	40001006	kuwa				
40001006003	40001006	ya				
40001006004	40001006	haifi				
40001006005	40001006	Sarki				
40001006006	40001006	Dawuda	y			
40001006007	40001006	.		y		
40001006008	40001006	Dawuda				
40001006009	40001006	ya				
40001006010	40001006	haifi				
40001006011	40001006	Solomon	y			
40001006012	40001006	,		y		
40001006013	40001006	wanda				
40001006014	40001006	matar				
40001006015	40001006	Uriya				
40001006016	40001006	ce				
40001006017	40001006	mahaifiyarsa	y			
40001006018	40001006	.		y		
40001007001	40001007	Solomon				
40001007002	40001007	ya				
40001007003	40001007	haifi				
40001007004	40001007	Rehobowam	y			
40001007005	40001007	,		y		
40001007006	40001007	Rehobowam				
40001007007	40001007	ya				
40001007008	40001007	haifi				
40001007009	40001007	Abiya	y			
40001007010	40001007	,		y		
40001007011	40001007	Abiya				
40001007012	40001007	ya				
40001007013	40001007	haifi				
40001007014	40001007	Asa	y			
40001007015	40001007	,		y		
40001008001	40001008	Asa				
40001008002	40001008	ya				
40001008003	40001008	haifi				
40001008004	40001008	Yehoshafat	y			
40001008005	40001008	,		y		
40001008006	40001008	Yehoshafat				
40001008007	40001008	ya				
40001008008	40001008	haifi				
40001008009	40001008	Yehoram	y			
40001008010	40001008	,		y		
40001008011	40001008	Yehoram				
40001008012	40001008	ya				
40001008013	40001008	haifi				
40001008014	40001008	Azariya	y			
40001008015	40001008	,		y		
40001009001	40001009	Azariya				
40001009002	40001009	ya				
40001009003	40001009	haifi				
40001009004	40001009	Yotam	y			
40001009005	40001009	,		y		
40001009006	40001009	Yotam				
40001009007	40001009	ya				
40001009008	40001009	haifi				
40001009009	40001009	Ahaz	y			
40001009010	40001009	,		y		
40001009011	40001009	Ahaz				
40001009012	40001009	ya				
40001009013	40001009	haifi				
40001009014	40001009	Hezekiya	y			
40001009015	40001009	,		y		
40001010001	40001010	Hezekiya				
40001010002	40001010	ya				
40001010003	40001010	haifi				
40001010004	40001010	Manasse	y			
40001010005	40001010	,		y		
40001010006	40001010	Manasse				
40001010007	40001010	ya				
40001010008	40001010	haifi				
40001010009	40001010	Amon	y			
40001010010	40001010	,		y		
40001010011	40001010	Amon				
40001010012	40001010	ya				
40001010013	40001010	haifi				
40001010014	40001010	Yosiya	y			
40001010015	40001010	,		y		
40001011001	40001011	Yosiya				
40001011002	40001011	kuma				
40001011003	40001011	ya				
40001011004	40001011	haifi				
40001011005	40001011	Yekoniya				
40001011006	40001011	da				
40001011007	40001011	’	y	y		
40001011008	40001011	yan’uwansa				
40001011009	40001011	a				
40001011010	40001011	lokacin				
40001011011	40001011	da				
40001011012	40001011	aka				
40001011013	40001011	kwashe				
40001011014	40001011	su				
40001011015	40001011	zuwa				
40001011016	40001011	bauta				
40001011017	40001011	a				
40001011018	40001011	Babilon	y			
40001011019	40001011	.		y		
40001012001	40001012	Bayan				
40001012002	40001012	an				
40001012003	40001012	kwashe				
40001012004	40001012	su				
40001012005	40001012	zuwa				
40001012006	40001012	bauta				
40001012007	40001012	a				
40001012008	40001012	Babilon	y			
40001012009	40001012	.		y		
40001012010	40001012	Yekoniya				
40001012011	40001012	ya				
40001012012	40001012	haifi				
40001012013	40001012	Sheyaltiyel	y			
40001012014	40001012	,		y		
40001012015	40001012	Sheyaltiyel				
40001012016	40001012	ya				
40001012017	40001012	haifi				
40001012018	40001012	Zerubbabel	y			
40001012019	40001012	,		y		
40001013001	40001013	Zerubbabel				
40001013002	40001013	ya				
40001013003	40001013	haifi				
40001013004	40001013	Abiyud	y			
40001013005	40001013	,		y		
40001013006	40001013	Abiyud				
40001013007	40001013	ya				
40001013008	40001013	haifi				
40001013009	40001013	Eliyakim	y			
40001013010	40001013	,		y		
40001013011	40001013	Eliyakim				
40001013012	40001013	ya				
40001013013	40001013	haifi				
40001013014	40001013	Azor	y			
40001013015	40001013	,		y		
40001014001	40001014	Azor				
40001014002	40001014	ya				
40001014003	40001014	haifi				
40001014004	40001014	Zadok	y			
40001014005	40001014	,		y		
40001014006	40001014	Zadok				
40001014007	40001014	ya				
40001014008	40001014	haifi				
40001014009	40001014	Akim	y			
40001014010	40001014	,		y		
40001014011	40001014	Akim				
40001014012	40001014	kuma				
40001014013	40001014	ya				
40001014014	40001014	haifi				
40001014015	40001014	Eliyud	y			
40001014016	40001014	,		y		
40001015001	40001015	Eliyud				
40001015002	40001015	ya				
40001015003	40001015	haifi				
40001015004	40001015	Eleyazar	y			
40001015005	40001015	,		y		
40001015006	40001015	Eleyazar				
40001015007	40001015	ya				
40001015008	40001015	haifi				
40001015009	40001015	Mattan	y			
40001015010	40001015	,		y		
40001015011	40001015	Mattan				
40001015012	40001015	ya				
40001015013	40001015	haifi				
40001015014	40001015	Yaƙub	y			
40001015015	40001015	,		y		
40001016001	40001016	Yaƙub				
40001016002	40001016	ya				
40001016003	40001016	haifi				
40001016004	40001016	Yusuf	y			
40001016005	40001016	,		y		
40001016006	40001016	mijin				
40001016007	40001016	Maryamu	y			
40001016008	40001016	,		y		
40001016009	40001016	wadda				
40001016010	40001016	ta				
40001016011	40001016	haifi				
40001016012	40001016	Yesu	y			
40001016013	40001016	,		y		
40001016014	40001016	wanda				
40001016015	40001016	ake				
40001016016	40001016	kira				
40001016017	40001016	Kiristi	y			
40001016018	40001016	.		y		
40001017001	40001017	Ta				
40001017002	40001017	haka				
40001017003	40001017	akwai				
40001017004	40001017	zuriya				
40001017005	40001017	goma				
40001017006	40001017	sha				
40001017007	40001017	huɗu				
40001017008	40001017	ke				
40001017009	40001017	nan				
40001017010	40001017	duka-duka				
40001017011	40001017	daga				
40001017012	40001017	lokacin				
40001017013	40001017	Ibrahim				
40001017014	40001017	zuwa				
40001017015	40001017	lokacin				
40001017016	40001017	Dawuda	y			
40001017017	40001017	,		y		
40001017018	40001017	goma				
40001017019	40001017	sha				
40001017020	40001017	huɗu				
40001017021	40001017	kuma				
40001017022	40001017	daga				
40001017023	40001017	Dawuda				
40001017024	40001017	zuwa				
40001017025	40001017	bauta				
40001017026	40001017	a				
40001017027	40001017	Babilon	y			
40001017028	40001017	,		y		
40001017029	40001017	goma				
40001017030	40001017	sha				
40001017031	40001017	huɗu				
40001017032	40001017	kuma				
40001017033	40001017	daga				
40001017034	40001017	bauta				
40001017035	40001017	a				
40001017036	40001017	Babilon				
40001017037	40001017	zuwa				
40001017038	40001017	Kiristi	y			
40001017039	40001017	.		y		
40001018001	40001018	Ga				
40001018002	40001018	yadda				
40001018003	40001018	haihuwar				
40001018004	40001018	Yesu				
40001018005	40001018	Kiristi				
40001018006	40001018	ta				
40001018007	40001018	kasance	y			
40001018008	40001018	.		y		
40001018009	40001018	An				
40001018010	40001018	yi				
40001018011	40001018	alkawarin				
40001018012	40001018	auren				
40001018013	40001018	mahaifiyarsa				
40001018014	40001018	Maryamu	y			
40001018015	40001018	,		y		
40001018016	40001018	ga				
40001018017	40001018	Yusuf	y			
40001018018	40001018	.		y		
40001018019	40001018	Amma				
40001018020	40001018	tun				
40001018021	40001018	kafin				
40001018022	40001018	su				
40001018023	40001018	zama				
40001018024	40001018	miji				
40001018025	40001018	da				
40001018026	40001018	mata	y			
40001018027	40001018	,		y		
40001018028	40001018	sai				
40001018029	40001018	aka				
40001018030	40001018	tarar				
40001018031	40001018	Maryamu				
40001018032	40001018	tana				
40001018033	40001018	da				
40001018034	40001018	ciki	y			
40001018035	40001018	,		y		
40001018036	40001018	ta				
40001018037	40001018	wurin				
40001018038	40001018	Ruhu				
40001018039	40001018	Mai				
40001018040	40001018	Tsarki	y			
40001018041	40001018	.		y		
40001019001	40001019	Yusuf				
40001019002	40001019	mijinta	y			
40001019003	40001019	,		y		
40001019004	40001019	da				
40001019005	40001019	yake				
40001019006	40001019	shi				
40001019007	40001019	mai				
40001019008	40001019	adalci				
40001019009	40001019	ne	y			
40001019010	40001019	,		y		
40001019011	40001019	bai				
40001019012	40001019	so				
40001019013	40001019	yă				
40001019014	40001019	ba				
40001019015	40001019	ta				
40001019016	40001019	kunya	y			
40001019017	40001019	,		y		
40001019018	40001019	yă				
40001019019	40001019	tone				
40001019020	40001019	mata				
40001019021	40001019	asiri				
40001019022	40001019	a				
40001019023	40001019	fili				
40001019024	40001019	ba	y			
40001019025	40001019	,		y		
40001019026	40001019	sai				
40001019027	40001019	ya				
40001019028	40001019	yi				
40001019029	40001019	tunani				
40001019030	40001019	yă				
40001019031	40001019	sake				
40001019032	40001019	ta				
40001019033	40001019	a				
40001019034	40001019	ɓoye	y			
40001019035	40001019	.		y		
40001020001	40001020	Amma				
40001020002	40001020	yana				
40001020003	40001020	cikin				
40001020004	40001020	wannan				
40001020005	40001020	tunani	y			
40001020006	40001020	,		y		
40001020007	40001020	sai				
40001020008	40001020	wani				
40001020009	40001020	mala’ikan				
40001020010	40001020	Ubangiji				
40001020011	40001020	ya				
40001020012	40001020	bayyana				
40001020013	40001020	masa				
40001020014	40001020	cikin				
40001020015	40001020	mafarki				
40001020016	40001020	ya				
40001020017	40001020	ce	y			
40001020018	40001020	,		y		
40001020019	40001020	“	y	y		
40001020020	40001020	Yusuf				
40001020021	40001020	ɗan				
40001020022	40001020	Dawuda	y			
40001020023	40001020	,		y		
40001020024	40001020	kada				
40001020025	40001020	ka				
40001020026	40001020	ji				
40001020027	40001020	tsoron				
40001020028	40001020	ɗaukan				
40001020029	40001020	Maryamu				
40001020030	40001020	zuwa				
40001020031	40001020	gidanka				
40001020032	40001020	a				
40001020033	40001020	matsayin				
40001020034	40001020	matarka	y			
40001020035	40001020	,		y		
40001020036	40001020	gama				
40001020037	40001020	cikin				
40001020038	40001020	nan				
40001020039	40001020	nata	y			
40001020040	40001020	,		y		
40001020041	40001020	daga				
40001020042	40001020	wurin				
40001020043	40001020	Ruhu				
40001020044	40001020	Mai				
40001020045	40001020	Tsarki				
40001020046	40001020	ne	y			
40001020047	40001020	.		y		
40001021001	40001021	Za				
40001021002	40001021	tă				
40001021003	40001021	haifi				
40001021004	40001021	ɗa	y			
40001021005	40001021	,		y		
40001021006	40001021	za				
40001021007	40001021	ka				
40001021008	40001021	kuma				
40001021009	40001021	sa				
40001021010	40001021	masa				
40001021011	40001021	suna				
40001021012	40001021	Yesu	y			
40001021013	40001021	,		y		
40001021014	40001021	gama				
40001021015	40001021	shi				
40001021016	40001021	ne				
40001021017	40001021	zai				
40001021018	40001021	ceci				
40001021019	40001021	mutanensa				
40001021020	40001021	daga				
40001021021	40001021	zunubansu	y			
40001021022	40001021	.	y	y		
40001021023	40001021	”		y		
40001022001	40001022	Duk				
40001022002	40001022	wannan				
40001022003	40001022	ya				
40001022004	40001022	faru				
40001022005	40001022	ne	y			
40001022006	40001022	,		y		
40001022007	40001022	don				
40001022008	40001022	a				
40001022009	40001022	cika				
40001022010	40001022	abin				
40001022011	40001022	da				
40001022012	40001022	Ubangiji				
40001022013	40001022	ya				
40001022014	40001022	faɗi				
40001022015	40001022	ta				
40001022016	40001022	bakin				
40001022017	40001022	annabin				
40001022018	40001022	cewa	y			
40001022019	40001022	,		y		
40001023001	40001023	“	y	y		
40001023002	40001023	Ga				
40001023003	40001023	shi				
40001023004	40001023	budurwa				
40001023005	40001023	za				
40001023006	40001023	tă				
40001023007	40001023	yi				
40001023008	40001023	ciki	y			
40001023009	40001023	,		y		
40001023010	40001023	za				
40001023011	40001023	tă				
40001023012	40001023	haifi				
40001023013	40001023	ɗa	y			
40001023014	40001023	,		y		
40001023015	40001023	kuma				
40001023016	40001023	za				
40001023017	40001023	a				
40001023018	40001023	kira				
40001023019	40001023	shi				
40001023020	40001023	Immanuwel	y			
40001023021	40001023	”		y		
40001023022	40001023	(	y	y		
40001023023	40001023	wanda				
40001023024	40001023	yake				
40001023025	40001023	nufin				
40001023026	40001023	“	y	y		
