id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end
01001001001	01001001	A				
01001001002	01001001	farko-farko	y			
01001001003	01001001	,		y		
01001001004	01001001	Allah				
01001001005	01001001	ya				
01001001006	01001001	halicci				
01001001007	01001001	sama				
01001001008	01001001	da				
01001001009	01001001	ƙasa	y			
01001001010	01001001	.		y		
01001002001	01001002	To	y			
01001002002	01001002	,		y		
01001002003	01001002	ƙasa				
01001002004	01001002	dai				
01001002005	01001002	ba				
01001002006	01001002	ta				
01001002007	01001002	da				
01001002008	01001002	siffa	y			
01001002009	01001002	,		y		
01001002010	01001002	babu				
01001002011	01001002	kuma				
01001002012	01001002	kome				
01001002013	01001002	a				
01001002014	01001002	cikinta	y			
01001002015	01001002	,		y		
01001002016	01001002	duhu				
01001002017	01001002	ne				
01001002018	01001002	kawai				
01001002019	01001002	ya				
01001002020	01001002	rufe				
01001002021	01001002	ko’ina	y			
01001002022	01001002	,		y		
01001002023	01001002	Ruhun				
01001002024	01001002	Allah				
01001002025	01001002	kuwa				
01001002026	01001002	yana				
01001002027	01001002	yawo				
01001002028	01001002	a				
01001002029	01001002	kan				
01001002030	01001002	ruwan	y			
01001002031	01001002	.		y		
01001003001	01001003	Sai				
01001003002	01001003	Allah				
01001003003	01001003	ya				
01001003004	01001003	ce	y			
01001003005	01001003	,		y		
01001003006	01001003	“	y	y		
01001003007	01001003	Bari				
01001003008	01001003	haske				
01001003009	01001003	yă				
01001003010	01001003	kasance	y			
01001003011	01001003	,	y	y		
01001003012	01001003	”		y		
01001003013	01001003	sai				
01001003014	01001003	kuwa				
01001003015	01001003	ga				
01001003016	01001003	haske	y			
01001003017	01001003	.		y		
01001004001	01001004	Allah				
01001004002	01001004	ya				
01001004003	01001004	ga				
01001004004	01001004	hasken				
01001004005	01001004	yana				
01001004006	01001004	da				
01001004007	01001004	kyau	y			
01001004008	01001004	,		y		
01001004009	01001004	sai				
01001004010	01001004	ya				
01001004011	01001004	raba				
01001004012	01001004	tsakanin				
01001004013	01001004	hasken				
01001004014	01001004	da				
01001004015	01001004	duhu	y			
01001004016	01001004	.		y		
01001005001	01001005	Allah				
01001005002	01001005	ya				
01001005003	01001005	kira				
01001005004	01001005	hasken				
01001005005	01001005	“	y	y		
01001005006	01001005	yini	y			
01001005007	01001005	,	y	y		
01001005008	01001005	”		y		
01001005009	01001005	ya				
01001005010	01001005	kuma				
01001005011	01001005	kira				
01001005012	01001005	duhun				
01001005013	01001005	“	y	y		
01001005014	01001005	dare	y			
01001005015	01001005	.	y	y		
01001005016	01001005	”		y		
01001005017	01001005	Yamma				
01001005018	01001005	ta				
01001005019	01001005	kasance	y			
01001005020	01001005	,		y		
01001005021	01001005	safiya				
01001005022	01001005	kuma				
01001005023	01001005	ta				
01001005024	01001005	kasance	y			
01001005025	01001005	,		y		
01001005026	01001005	kwana				
01001005027	01001005	ta				
01001005028	01001005	fari				
01001005029	01001005	ke				
01001005030	01001005	nan	y			
01001005031	01001005	.		y		
01001006001	01001006	Allah				
01001006002	01001006	ya				
01001006003	01001006	ce	y			
01001006004	01001006	,		y		
01001006005	01001006	“	y	y		
01001006006	01001006	Bari				
01001006007	01001006	sarari				
01001006008	01001006	yă				
01001006009	01001006	kasance				
01001006010	01001006	tsakanin				
01001006011	01001006	ruwaye				
01001006012	01001006	domin				
01001006013	01001006	yă				
01001006014	01001006	raba				
01001006015	01001006	ruwa				
01001006016	01001006	da				
01001006017	01001006	ruwa	y			
01001006018	01001006	.	y	y		
01001006019	01001006	”		y		
01001007001	01001007	Saboda				
01001007002	01001007	haka				
01001007003	01001007	Allah				
01001007004	01001007	ya				
01001007005	01001007	yi				
01001007006	01001007	sarari				
01001007007	01001007	ya				
01001007008	01001007	raba				
01001007009	01001007	ruwan				
01001007010	01001007	da				
01001007011	01001007	yake				
01001007012	01001007	ƙarƙashin				
01001007013	01001007	sararin				
01001007014	01001007	da				
01001007015	01001007	ruwan				
01001007016	01001007	da				
01001007017	01001007	yake				
01001007018	01001007	bisansa	y			
01001007019	01001007	.		y		
01001007020	01001007	Haka				
01001007021	01001007	kuwa				
01001007022	01001007	ya				
01001007023	01001007	kasance	y			
01001007024	01001007	.		y		
01001008001	01001008	Allah				
01001008002	01001008	ya				
01001008003	01001008	kira				
01001008004	01001008	sararin				
01001008005	01001008	“	y	y		
01001008006	01001008	sama	y			
01001008007	01001008	.	y	y		
01001008008	01001008	”		y		
01001008009	01001008	Yamma				
01001008010	01001008	ta				
01001008011	01001008	kasance	y			
01001008012	01001008	,		y		
01001008013	01001008	safiya				
01001008014	01001008	kuma				
01001008015	01001008	ta				
01001008016	01001008	kasance	y			
01001008017	01001008	,		y		
01001008018	01001008	kwana				
01001008019	01001008	ta				
01001008020	01001008	biyu				
01001008021	01001008	ke				
01001008022	01001008	nan	y			
01001008023	01001008	.		y		
01001009001	01001009	Allah				
01001009002	01001009	ya				
01001009003	01001009	ce	y			
01001009004	01001009	,		y		
01001009005	01001009	“	y	y		
01001009006	01001009	Bari				
01001009007	01001009	ruwan				
01001009008	01001009	da				
01001009009	01001009	yake				
01001009010	01001009	ƙarƙashin				
01001009011	01001009	sama				
01001009012	01001009	yă				
01001009013	01001009	tattaru				
01001009014	01001009	wuri				
01001009015	01001009	ɗaya	y			
01001009016	01001009	,		y		
01001009017	01001009	bari				
01001009018	01001009	kuma				
01001009019	01001009	busasshiyar				
01001009020	01001009	ƙasa				
01001009021	01001009	tă				
01001009022	01001009	bayyana	y			
01001009023	01001009	.	y	y		
01001009024	01001009	”		y		
01001009025	01001009	Haka				
01001009026	01001009	kuwa				
01001009027	01001009	ya				
01001009028	01001009	kasance	y			
01001009029	01001009	.		y		
01001010001	01001010	Allah				
01001010002	01001010	ya				
