id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end
08001001001	08001001	उस				
08001001002	08001001	समय				
08001001003	08001001	के				
08001001004	08001001	दौरान				
08001001005	08001001	न्यायी				
08001001006	08001001	लोग				
08001001007	08001001	इस्राएल				
08001001008	08001001	पर				
08001001009	08001001	राज्य				
08001001010	08001001	करते				
08001001011	08001001	थे	y			
08001001012	08001001	,		y		
08001001013	08001001	वहां				
08001001014	08001001	उस				
08001001015	08001001	देश				
08001001016	08001001	में				
08001001017	08001001	अकाल				
08001001018	08001001	पड़ा	y			
08001001019	08001001	।		y		
08001001020	08001001	इस्राएल				
08001001021	08001001	देश				
08001001022	08001001	के				
08001001023	08001001	यहूदा				
08001001024	08001001	क्षेत्र				
08001001025	08001001	में				
08001001026	08001001	बैतलहम				
08001001027	08001001	के				
08001001028	08001001	नगर				
08001001029	08001001	को				
08001001030	08001001	एक				
08001001031	08001001	व्यक्ति				
08001001032	08001001	ने				
08001001033	08001001	छोड़				
08001001034	08001001	दिया				
08001001035	08001001	और				
08001001036	08001001	कुछ				
08001001037	08001001	समय				
08001001038	08001001	के				
08001001039	08001001	लिए				
08001001040	08001001	मोआब				
08001001041	08001001	देश				
08001001042	08001001	में				
08001001043	08001001	रहने				
08001001044	08001001	के				
08001001045	08001001	लिए				
08001001046	08001001	चला				
08001001047	08001001	गया	y			
08001001048	08001001	।		y		
08001001049	08001001	उसकी				
08001001050	08001001	पत्नी				
08001001051	08001001	और				
08001001052	08001001	उसके				
08001001053	08001001	दो				
08001001054	08001001	बेटे				
08001001055	08001001	उसके				
08001001056	08001001	साथ				
08001001057	08001001	गए	y			
08001001058	08001001	।		y		
08001002001	08001002	उस				
08001002002	08001002	व्यक्ति				
08001002003	08001002	का				
08001002004	08001002	नाम				
08001002005	08001002	एलीमेलेक				
08001002006	08001002	था				
08001002007	08001002	और				
08001002008	08001002	उसकी				
08001002009	08001002	पत्नी				
08001002010	08001002	का				
08001002011	08001002	नाम				
08001002012	08001002	नाओमी				
08001002013	08001002	था	y			
08001002014	08001002	।		y		
08001002015	08001002	उसके				
08001002016	08001002	दो				
08001002017	08001002	बेटों				
08001002018	08001002	के				
08001002019	08001002	नाम				
08001002020	08001002	महलोन				
08001002021	08001002	और				
08001002022	08001002	किल्योन				
08001002023	08001002	थे	y			
08001002024	08001002	।		y		
08001002025	08001002	वह				
08001002026	08001002	यहूदा				
08001002027	08001002	के				
08001002028	08001002	बैतलहम				
08001002029	08001002	के				
08001002030	08001002	एप्राती				
08001002031	08001002	के				
08001002032	08001002	वंश				
08001002033	08001002	से				
08001002034	08001002	थे	y			
08001002035	08001002	।		y		
08001002036	08001002	वो				
08001002037	08001002	मोआब				
08001002038	08001002	की				
08001002039	08001002	भूमि				
08001002040	08001002	पर				
08001002041	08001002	आये				
08001002042	08001002	और				
08001002043	08001002	वहां				
08001002044	08001002	रहे	y			
08001002045	08001002	।		y		
08001003001	08001003	तब				
08001003002	08001003	नाओमी				
08001003003	08001003	के				
08001003004	08001003	पति				
08001003005	08001003	एलीमेलेक				
08001003006	08001003	की				
08001003007	08001003	मृत्यु				
08001003008	08001003	हो				
08001003009	08001003	गई	y			
08001003010	08001003	,		y		
08001003011	08001003	और				
08001003012	08001003	नाओमी				
08001003013	08001003	के				
08001003014	08001003	साथ				
08001003015	08001003	सिर्फ				
08001003016	08001003	उसके				
08001003017	08001003	दो				
08001003018	08001003	बेटे				
08001003019	08001003	थे				
08001003020	08001003	जो				
08001003021	08001003	उसके				
08001003022	08001003	साथ				
08001003023	08001003	थे	y			
08001003024	08001003	।		y		
08001004001	08001004	बेटों				
08001004002	08001004	ने				
08001004003	08001004	मोआबी				
08001004004	08001004	स्त्रियों				
08001004005	08001004	से				
08001004006	08001004	विवाह				
08001004007	08001004	किया	y			
08001004008	08001004	।		y		
08001004009	08001004	एक				
08001004010	08001004	स्त्री				
08001004011	08001004	का				
