id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end	required
40001001001	40001001	Tala					y
40001001002	40001001	molongo					y
40001001003	40001001	ya					y
40001001004	40001001	mbotama					y
40001001005	40001001	ya					y
40001001006	40001001	Yesu-Klisto	y				y
40001001007	40001001	,		y			n
40001001008	40001001	mokitani					y
40001001009	40001001	ya					y
40001001010	40001001	Davidi					y
40001001011	40001001	mpe					y
40001001012	40001001	ya					y
40001001013	40001001	Abrayami					y
40001001014	40001001	:		y			n
40001002001	40001002	Abrayami					y
40001002002	40001002	abotaki					y
40001002003	40001002	Izaki					y
40001002004	40001002	;		y			n
40001002005	40001002	Izaki					y
40001002006	40001002	abotaki					y
40001002007	40001002	Jakobi					y
40001002008	40001002	;		y			n
40001002009	40001002	Jakobi					y
40001002010	40001002	abotaki					y
40001002011	40001002	Yuda					y
40001002012	40001002	mpe					y
40001002013	40001002	bandeko					y
40001002014	40001002	na					y
40001002015	40001002	ye					y
40001002016	40001002	ya					y
40001002017	40001002	mibali					y
40001002018	40001002	;		y			n
40001003001	40001003	Yuda					y
40001003002	40001003	abotaki					y
40001003003	40001003	Peretsi					y
40001003004	40001003	mpe					y
40001003005	40001003	Zera					y
40001003006	40001003	na					y
40001003007	40001003	nzela					y
40001003008	40001003	ya					y
40001003009	40001003	Tamari	y				y
40001003010	40001003	,		y			n
40001003011	40001003	mwasi					y
40001003012	40001003	na					y
40001003013	40001003	ye					y
40001003014	40001003	;		y			n
40001003015	40001003	Peretsi					y
40001003016	40001003	abotaki					y
40001003017	40001003	Etsironi					y
40001003018	40001003	;		y			n
40001003019	40001003	Etsironi					y
40001003020	40001003	abotaki					y
40001003021	40001003	Arami					y
40001003022	40001003	;		y			n
40001004001	40001004	Arami					y
40001004002	40001004	abotaki					y
40001004003	40001004	Aminadabi					y
40001004004	40001004	;		y			n
40001004005	40001004	Aminadabi					y
40001004006	40001004	abotaki					y
40001004007	40001004	Nashoni	y				y
40001004008	40001004	,		y			n
40001004009	40001004	mpe					y
40001004010	40001004	Nashoni					y
40001004011	40001004	abotaki					y
40001004012	40001004	Salima					y
40001004013	40001004	;		y			n
40001005001	40001005	Salima					y
40001005002	40001005	abotaki					y
40001005003	40001005	Boazi					y
40001005004	40001005	na					y
40001005005	40001005	nzela					y
40001005006	40001005	ya					y
40001005007	40001005	Raabi	y				y
40001005008	40001005	,		y			n
40001005009	40001005	mwasi					y
40001005010	40001005	na					y
40001005011	40001005	ye					y
40001005012	40001005	;		y			n
40001005013	40001005	Boazi					y
40001005014	40001005	abotaki					y
40001005015	40001005	Obedi					y
40001005016	40001005	na					y
40001005017	40001005	nzela					y
40001005018	40001005	ya					y
40001005019	40001005	Rite	y				y
40001005020	40001005	,		y			n
40001005021	40001005	mwasi					y
40001005022	40001005	na					y
40001005023	40001005	ye					y
40001005024	40001005	;		y			n
40001005025	40001005	Obedi					y
40001005026	40001005	abotaki					y
40001005027	40001005	Izayi	y				y
40001005028	40001005	,		y			n
40001006001	40001006	mpe					y
40001006002	40001006	Izayi					y
40001006003	40001006	abotaki					y
40001006004	40001006	mokonzi					y
40001006005	40001006	Davidi	y				y
40001006006	40001006	.		y			n
40001006007	40001006	Davidi					y
40001006008	40001006	abotaki					y
40001006009	40001006	Salomo					y
40001006010	40001006	na					y
40001006011	40001006	nzela					y
40001006012	40001006	ya					y
40001006013	40001006	mwasi					y
40001006014	40001006	ya					y
40001006015	40001006	Uri					y
40001006016	40001006	;		y			n
40001007001	40001007	Salomo					y
40001007002	40001007	abotaki					y
40001007003	40001007	Roboami					y
40001007004	40001007	;		y			n
40001007005	40001007	Roboami					y
40001007006	40001007	abotaki					y
40001007007	40001007	Abiya					y
40001007008	40001007	;		y			n
40001007009	40001007	Abiya					y
40001007010	40001007	abotaki					y
40001007011	40001007	Asa					y
40001007012	40001007	;		y			n
40001008001	40001008	Asa					y
40001008002	40001008	abotaki					y
40001008003	40001008	Jozafati					y
40001008004	40001008	;		y			n
40001008005	40001008	Jozafati					y
40001008006	40001008	abotaki					y
40001008007	40001008	Yorami					y
40001008008	40001008	;		y			n
40001008009	40001008	Yorami					y
40001008010	40001008	abotaki					y
40001008011	40001008	Oziasi					y
40001008012	40001008	;		y			n
40001009001	40001009	Oziasi					y
40001009002	40001009	abotaki					y
40001009003	40001009	Yotami					y
40001009004	40001009	;		y			n
40001009005	40001009	Yotami					y
