id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end	required
01001001001	01001001	No					y
01001001002	01001001	princípio	y				y
01001001003	01001001	,		y			n
01001001004	01001001	Deus					y
01001001005	01001001	criou					y
01001001006	01001001	os					y
01001001007	01001001	céus					y
01001001008	01001001	e					y
01001001009	01001001	a					y
01001001010	01001001	terra	y				y
01001001011	01001001	.		y			n
01001002001	01001002	A					y
01001002002	01001002	terra					y
01001002003	01001002	estava					y
01001002004	01001002	sem					y
01001002005	01001002	forma					y
01001002006	01001002	e					y
01001002007	01001002	vazia	y				y
01001002008	01001002	;		y			n
01001002009	01001002	havia					y
01001002010	01001002	trevas					y
01001002011	01001002	sobre					y
01001002012	01001002	a					y
01001002013	01001002	face					y
01001002014	01001002	do					y
01001002015	01001002	abismo	y				y
01001002016	01001002	,		y			n
01001002017	01001002	e					y
01001002018	01001002	o					y
01001002019	01001002	Espírito					y
01001002020	01001002	de					y
01001002021	01001002	Deus					y
01001002022	01001002	pairava					y
01001002023	01001002	por					y
01001002024	01001002	sobre					y
01001002025	01001002	as					y
01001002026	01001002	águas	y				y
01001002027	01001002	.		y			n
01001003001	01001003	Então					y
01001003002	01001003	Deus					y
01001003003	01001003	disse	y				y
01001003004	01001003	:		y			n
01001003005	01001003	“	y	y			n
01001003006	01001003	Haja					y
01001003007	01001003	luz	y				y
01001003008	01001003	”	y	y			n
01001003009	01001003	,		y			n
01001003010	01001003	e					y
01001003011	01001003	houve					y
01001003012	01001003	luz	y				y
01001003013	01001003	.		y			n
01001004001	01001004	Deus					y
01001004002	01001004	viu					y
01001004003	01001004	que					y
01001004004	01001004	a					y
01001004005	01001004	luz					y
01001004006	01001004	era					y
01001004007	01001004	boa					y
01001004008	01001004	e					y
01001004009	01001004	a					y
01001004010	01001004	separou					y
01001004011	01001004	das					y
01001004012	01001004	trevas	y				y
01001004013	01001004	.		y			n
01001005001	01001005	Deus					y
01001005002	01001005	chamou					y
01001005003	01001005	a					y
01001005004	01001005	luz					y
01001005005	01001005	de					y
01001005006	01001005	“	y	y			n
01001005007	01001005	dia	y				y
01001005008	01001005	”	y	y			n
01001005009	01001005	,		y			n
01001005010	01001005	e					y
01001005011	01001005	a					y
01001005012	01001005	escuridão					y
01001005013	01001005	de					y
01001005014	01001005	“	y	y			n
01001005015	01001005	noite	y				y
01001005016	01001005	”	y	y			n
01001005017	01001005	.		y			n
01001005018	01001005	Houve					y
01001005019	01001005	tarde					y
01001005020	01001005	e					y
01001005021	01001005	manhã	y				y
01001005022	01001005	,		y			n
01001005023	01001005	formando					y
01001005024	01001005	o					y
01001005025	01001005	primeiro					y
01001005026	01001005	dia	y				y
01001005027	01001005	.		y			n
01001006001	01001006	E					y
01001006002	01001006	Deus					y
01001006003	01001006	disse	y				y
01001006004	01001006	:		y			n
01001006005	01001006	“	y	y			n
01001006006	01001006	Que					y
01001006007	01001006	haja					y
01001006008	01001006	uma					y
01001006009	01001006	separação					y
01001006010	01001006	nas					y
01001006011	01001006	águas	y				y
01001006012	01001006	,		y			n
01001006013	01001006	entre					y
01001006014	01001006	a					y
01001006015	01001006	expansão					y
01001006016	01001006	acima					y
01001006017	01001006	e					y
01001006018	01001006	os					y
01001006019	01001006	oceanos					y
01001006020	01001006	abaixo	y				y
01001006021	01001006	”	y	y			n
01001006022	01001006	.		y			n
01001007001	01001007	Dessa					y
01001007002	01001007	forma	y				y
01001007003	01001007	,		y			n
01001007004	01001007	Deus					y
01001007005	01001007	criou					y
01001007006	01001007	o					y
01001007007	01001007	firmamento	y				y
01001007008	01001007	,		y			n
01001007009	01001007	separando					y
01001007010	01001007	as					y
01001007011	01001007	águas					y
01001007012	01001007	que					y
01001007013	01001007	estavam					y
01001007014	01001007	acima					y
01001007015	01001007	das					y
01001007016	01001007	que					y
01001007017	01001007	ficaram					y
01001007018	01001007	abaixo	y				y
01001007019	01001007	.		y			n
01001007020	01001007	E					y
01001007021	01001007	assim					y
01001007022	01001007	aconteceu	y				y
01001007023	01001007	.		y			n
01001008001	01001008	Deus					y
01001008002	01001008	chamou					y
01001008003	01001008	o					y
01001008004	01001008	firmamento					y
01001008005	01001008	de					y
01001008006	01001008	“	y	y			n
01001008007	01001008	céu	y				y
