id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end
01001001001	01001001	No				
01001001002	01001001	principio				
01001001003	01001001	creou				
01001001004	01001001	Deus				
01001001005	01001001	os				
01001001006	01001001	céus				
01001001007	01001001	e				
01001001008	01001001	a				
01001001009	01001001	terra	y			
01001001010	01001001	.		y		
01001002001	01001002	E				
01001002002	01001002	a				
01001002003	01001002	terra				
01001002004	01001002	era				
01001002005	01001002	sem				
01001002006	01001002	fórma				
01001002007	01001002	e				
01001002008	01001002	vasia	y			
01001002009	01001002	;		y		
01001002010	01001002	e				
01001002011	01001002	havia				
01001002012	01001002	trevas				
01001002013	01001002	sobre				
01001002014	01001002	a				
01001002015	01001002	face				
01001002016	01001002	do				
01001002017	01001002	abysmo	y			
01001002018	01001002	:		y		
01001002019	01001002	e				
01001002020	01001002	o				
01001002021	01001002	Espirito				
01001002022	01001002	de				
01001002023	01001002	Deus				
01001002024	01001002	se				
01001002025	01001002	movia				
01001002026	01001002	sobre				
01001002027	01001002	a				
01001002028	01001002	face				
01001002029	01001002	das				
01001002030	01001002	aguas	y			
01001002031	01001002	.		y		
01001003001	01001003	E				
01001003002	01001003	disse				
01001003003	01001003	Deus	y			
01001003004	01001003	:		y		
01001003005	01001003	Haja				
01001003006	01001003	luz	y			
01001003007	01001003	:		y		
01001003008	01001003	e				
01001003009	01001003	houve				
01001003010	01001003	luz	y			
01001003011	01001003	.		y		
01001004001	01001004	E				
01001004002	01001004	viu				
01001004003	01001004	Deus				
01001004004	01001004	que				
01001004005	01001004	era				
01001004006	01001004	boa				
01001004007	01001004	a				
01001004008	01001004	luz	y			
01001004009	01001004	:		y		
01001004010	01001004	e				
01001004011	01001004	fez				
01001004012	01001004	Deus				
01001004013	01001004	separação				
01001004014	01001004	entre				
01001004015	01001004	a				
01001004016	01001004	luz				
01001004017	01001004	e				
01001004018	01001004	as				
01001004019	01001004	trevas	y			
01001004020	01001004	.		y		
01001005001	01001005	E				
01001005002	01001005	Deus				
01001005003	01001005	chamou				
01001005004	01001005	á				
01001005005	01001005	luz				
01001005006	01001005	Dia	y			
01001005007	01001005	;		y		
01001005008	01001005	e				
01001005009	01001005	ás				
01001005010	01001005	trevas				
01001005011	01001005	chamou				
01001005012	01001005	Noite	y			
01001005013	01001005	.		y		
01001005014	01001005	E				
01001005015	01001005	foi				
01001005016	01001005	a				
01001005017	01001005	tarde				
