id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end	required
40001001001	40001001	Родословие					y
40001001002	40001001	Иисуса					y
40001001003	40001001	Христа	y				y
40001001004	40001001	,		y			n
40001001005	40001001	Сына					y
40001001006	40001001	Давидова	y				y
40001001007	40001001	,		y			n
40001001008	40001001	Сына					y
40001001009	40001001	Авраамова	y				y
40001001010	40001001	.		y			n
40001002001	40001002	Авраам					y
40001002002	40001002	родил					y
40001002003	40001002	Исаака	y				y
40001002004	40001002	;		y			n
40001002005	40001002	Исаак					y
40001002006	40001002	родил					y
40001002007	40001002	Иакова	y				y
40001002008	40001002	;		y			n
40001002009	40001002	Иаков					y
40001002010	40001002	родил					y
40001002011	40001002	Иуду					y
40001002012	40001002	и					y
40001002013	40001002	братьев					y
40001002014	40001002	его	y				y
40001002015	40001002	;		y			n
40001003001	40001003	Иуда					y
40001003002	40001003	родил					y
40001003003	40001003	Фареса					y
40001003004	40001003	и					y
40001003005	40001003	Зару					y
40001003006	40001003	от					y
40001003007	40001003	Фамари	y				y
40001003008	40001003	;		y			n
40001003009	40001003	Фарес					y
40001003010	40001003	родил					y
40001003011	40001003	Есрома	y				y
40001003012	40001003	;		y			n
40001003013	40001003	Есром					y
40001003014	40001003	родил					y
40001003015	40001003	Арама	y				y
40001003016	40001003	;		y			n
40001004001	40001004	Арам					y
40001004002	40001004	родил					y
40001004003	40001004	Аминадава	y				y
40001004004	40001004	;		y			n
40001004005	40001004	Аминадав					y
40001004006	40001004	родил					y
40001004007	40001004	Наассона	y				y
40001004008	40001004	;		y			n
40001004009	40001004	Наассон					y
40001004010	40001004	родил					y
40001004011	40001004	Салмона	y				y
40001004012	40001004	;		y			n
40001005001	40001005	Салмон					y
40001005002	40001005	родил					y
40001005003	40001005	Вооза					y
40001005004	40001005	от					y
40001005005	40001005	Рахавы	y				y
40001005006	40001005	;		y			n
40001005007	40001005	Вооз					y
40001005008	40001005	родил					y
40001005009	40001005	Овида					y
40001005010	40001005	от					y
40001005011	40001005	Руфи	y				y
40001005012	40001005	;		y			n
40001005013	40001005	Овид					y
40001005014	40001005	родил					y
40001005015	40001005	Иессея	y				y
40001005016	40001005	;		y			n
40001006001	40001006	Иессей					y
40001006002	40001006	родил					y
40001006003	40001006	Давида					y
40001006004	40001006	царя	y				y
40001006005	40001006	.		y			n
40001006006	40001006	Давид					y
40001006007	40001006	царь					y
40001006008	40001006	родил					y
40001006009	40001006	Соломона					y
40001006010	40001006	от					y
40001006011	40001006	бывшей					y
40001006012	40001006	за					y
40001006013	40001006	Уриею	y				y
40001006014	40001006	;		y			n
40001007001	40001007	Соломон					y
40001007002	40001007	родил					y
40001007003	40001007	Ровоама	y				y
40001007004	40001007	;		y			n
40001007005	40001007	Ровоам					y
40001007006	40001007	родил					y
40001007007	40001007	Авию	y				y
40001007008	40001007	;		y			n
40001007009	40001007	Авия					y
40001007010	40001007	родил					y
40001007011	40001007	Асу	y				y
40001007012	40001007	;		y			n
40001008001	40001008	Аса					y
40001008002	40001008	родил					y
40001008003	40001008	Иосафата	y				y
40001008004	40001008	;		y			n
40001008005	40001008	Иосафат					y
40001008006	40001008	родил					y
40001008007	40001008	Иорама	y				y
40001008008	40001008	;		y			n
40001008009	40001008	Иорам					y
40001008010	40001008	родил					y
40001008011	40001008	Озию	y				y
40001008012	40001008	;		y			n
40001009001	40001009	Озия					y
40001009002	40001009	родил					y
40001009003	40001009	Иоафама	y				y
40001009004	40001009	;		y			n
40001009005	40001009	Иоафам					y
40001009006	40001009	родил					y
40001009007	40001009	Ахаза	y				y
40001009008	40001009	;		y			n
40001009009	40001009	Ахаз					y
40001009010	40001009	родил					y
40001009011	40001009	Езекию	y				y
40001009012	40001009	;		y			n
40001010001	40001010	Езекия					y
40001010002	40001010	родил					y
40001010003	40001010	Манассию	y				y
40001010004	40001010	;		y			n
40001010005	40001010	Манассия					y
40001010006	40001010	родил					y
40001010007	40001010	Амона					y
40001010008	40001010	;		y			n
40001010009	40001010	Амон					y
40001010010	40001010	родил					y
40001010011	40001010	Иосию	y				y
40001010012	40001010	;		y			n
40001011001	40001011	Иосия					y
40001011002	40001011	родил					y
40001011003	40001011	Иоакима	y				y
40001011004	40001011	;		y			n
40001011005	40001011	Иоаким					y
40001011006	40001011	родил					y
40001011007	40001011	Иехонию					y
40001011008	40001011	и					y
40001011009	40001011	братьев					y
40001011010	40001011	его	y				y
40001011011	40001011	,		y			n
40001011012	40001011	перед					y
40001011013	40001011	переселением					y
40001011014	40001011	в					y
40001011015	40001011	Вавилон	y				y
40001011016	40001011	.		y			n
40001012001	40001012	По					y
40001012002	40001012	переселении					y
40001012003	40001012	же					y
40001012004	40001012	в					y
40001012005	40001012	Вавилон	y				y
40001012006	40001012	,		y			n
40001012007	40001012	Иехония					y
40001012008	40001012	родил					y
40001012009	40001012	Салафииля	y				y
40001012010	40001012	;		y			n
40001012011	40001012	Салафииль					y
40001012012	40001012	родил					y
40001012013	40001012	Зоровавеля	y				y
40001012014	40001012	;		y			n
40001013001	40001013	Зоровавель					y
40001013002	40001013	родил					y
40001013003	40001013	Авиуда	y				y
40001013004	40001013	;		y			n
40001013005	40001013	Авиуд					y
40001013006	40001013	родил					y
40001013007	40001013	Елиакима	y				y
40001013008	40001013	;		y			n
40001013009	40001013	Елиаким					y
40001013010	40001013	родил					y
40001013011	40001013	Азора	y				y
40001013012	40001013	;		y			n
40001014001	40001014	Азор					y
40001014002	40001014	родил					y
40001014003	40001014	Садока	y				y
40001014004	40001014	;		y			n
40001014005	40001014	Садок					y
40001014006	40001014	родил					y
40001014007	40001014	Ахима	y				y
40001014008	40001014	;		y			n
40001014009	40001014	Ахим					y
40001014010	40001014	родил					y
40001014011	40001014	Елиуда	y				y
40001014012	40001014	;		y			n
40001015001	40001015	Елиуд					y
40001015002	40001015	родил					y
40001015003	40001015	Елеазара	y				y
40001015004	40001015	;		y			n
40001015005	40001015	Елеазар					y
40001015006	40001015	родил					y
40001015007	40001015	Матфана	y				y
40001015008	40001015	;		y			n
40001015009	40001015	Матфан					y
40001015010	40001015	родил					y
40001015011	40001015	Иакова	y				y
40001015012	40001015	;		y			n
40001016001	40001016	Иаков					y
40001016002	40001016	родил					y
40001016003	40001016	Иосифа	y				y
40001016004	40001016	,		y			n
40001016005	40001016	мужа					y
40001016006	40001016	Марии	y				y
40001016007	40001016	,		y			n
40001016008	40001016	от					y
40001016009	40001016	Которой					y
40001016010	40001016	родился					y
40001016011	40001016	Иисус	y				y
40001016012	40001016	,		y			n
40001016013	40001016	называемый					y
40001016014	40001016	Христос	y				y
40001016015	40001016	.		y			n
40001017001	40001017	Итак	y				y
40001017002	40001017	,		y			n
40001017003	40001017	всех					y
40001017004	40001017	родов					y
40001017005	40001017	от					y
40001017006	40001017	Авраама					y
40001017007	40001017	до					y
40001017008	40001017	Давида					y
40001017009	40001017	четырнадцать					y
40001017010	40001017	родов	y				y
40001017011	40001017	;		y			n
40001017012	40001017	и					y
40001017013	40001017	от					y
40001017014	40001017	Давида					y
40001017015	40001017	до					y
40001017016	40001017	переселения					y
40001017017	40001017	в					y
40001017018	40001017	Вавилон					y
40001017019	40001017	четырнадцать					y
40001017020	40001017	родов	y				y
40001017021	40001017	;		y			n
40001017022	40001017	и					y
40001017023	40001017	от					y
40001017024	40001017	переселения					y
40001017025	40001017	в					y
40001017026	40001017	Вавилон					y
40001017027	40001017	до					y
40001017028	40001017	Христа					y
40001017029	40001017	четырнадцать					y
40001017030	40001017	родов	y				y
40001017031	40001017	.		y			n
40001018001	40001018	Рождество					y
40001018002	40001018	Иисуса					y
40001018003	40001018	Христа					y
40001018004	40001018	было					y
40001018005	40001018	так	y				y
40001018006	40001018	:		y			n
40001018007	40001018	по					y
40001018008	40001018	обручении					y
40001018009	40001018	Матери					y
40001018010	40001018	Его					y
40001018011	40001018	Марии					y
40001018012	40001018	с					y
40001018013	40001018	Иосифом	y				y
40001018014	40001018	,		y			n
40001018015	40001018	прежде					y
40001018016	40001018	нежели					y
40001018017	40001018	сочетались					y
40001018018	40001018	они	y				y
40001018019	40001018	,		y			n
40001018020	40001018	оказалось	y				y
40001018021	40001018	,		y			n
40001018022	40001018	что					y
40001018023	40001018	Она					y
40001018024	40001018	имеет					y
40001018025	40001018	во					y
40001018026	40001018	чреве					y
40001018027	40001018	от					y
40001018028	40001018	Духа					y
40001018029	40001018	Святого	y				y
40001018030	40001018	.		y			n
40001019001	40001019	Иосиф					y
40001019002	40001019	же	y				y
40001019003	40001019	,		y			n
40001019004	40001019	муж					y
40001019005	40001019	Ее	y				y
40001019006	40001019	,		y			n
40001019007	40001019	будучи					y
40001019008	40001019	праведен					y
40001019009	40001019	и					y
40001019010	40001019	не					y
40001019011	40001019	желая					y
40001019012	40001019	огласить					y
40001019013	40001019	Ее	y				y
40001019014	40001019	,		y			n
40001019015	40001019	хотел					y
40001019016	40001019	тайно					y
40001019017	40001019	отпустить					y
40001019018	40001019	Ее	y				y
40001019019	40001019	.		y			n
40001020001	40001020	Но					y
40001020002	40001020	когда					y
40001020003	40001020	он					y
40001020004	40001020	помыслил					y
40001020005	40001020	это	y				y
40001020006	40001020	,		y			n
40001020007	40001020	–		y			n
40001020008	40001020	се	y				y
40001020009	40001020	,		y			n
40001020010	40001020	Ангел					y
40001020011	40001020	Господень					y
40001020012	40001020	явился					y
40001020013	40001020	ему					y
40001020014	40001020	во					y
40001020015	40001020	сне					y
40001020016	40001020	и					y
40001020017	40001020	сказал	y				y
40001020018	40001020	:		y			n
40001020019	40001020	Иосиф	y				y
40001020020	40001020	,		y			n
40001020021	40001020	сын					y
40001020022	40001020	Давидов	y				y
40001020023	40001020	!		y			n
40001020024	40001020	не					y
40001020025	40001020	бойся					y
40001020026	40001020	принять					y
40001020027	40001020	Марию	y				y
40001020028	40001020	,		y			n
