id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end	required
01001001001	01001001	В					y
01001001002	01001001	начале					y
01001001003	01001001	сотворил					y
01001001004	01001001	Бог					y
01001001005	01001001	небо					y
01001001006	01001001	и					y
01001001007	01001001	землю	y				y
01001001008	01001001	.		y			n
01001002001	01001002	Земля					y
01001002002	01001002	же					y
01001002003	01001002	была					y
01001002004	01001002	безвидна					y
01001002005	01001002	и					y
01001002006	01001002	пуста	y				y
01001002007	01001002	,		y			n
01001002008	01001002	и					y
01001002009	01001002	тьма					y
01001002010	01001002	над					y
01001002011	01001002	бездною	y				y
01001002012	01001002	,		y			n
01001002013	01001002	и					y
01001002014	01001002	Дух					y
01001002015	01001002	Божий					y
01001002016	01001002	носился					y
01001002017	01001002	над					y
01001002018	01001002	водою	y				y
01001002019	01001002	.		y			n
01001003001	01001003	И					y
01001003002	01001003	сказал					y
01001003003	01001003	Бог	y				y
01001003004	01001003	:		y			n
01001003005	01001003	да					y
01001003006	01001003	будет					y
01001003007	01001003	свет	y				y
01001003008	01001003	.		y			n
01001003009	01001003	И					y
01001003010	01001003	стал					y
01001003011	01001003	свет	y				y
01001003012	01001003	.		y			n
01001004001	01001004	И					y
01001004002	01001004	увидел					y
01001004003	01001004	Бог					y
01001004004	01001004	свет	y				y
01001004005	01001004	,		y			n
01001004006	01001004	что					y
01001004007	01001004	он					y
01001004008	01001004	хорош	y				y
01001004009	01001004	,		y			n
01001004010	01001004	и					y
01001004011	01001004	отделил					y
01001004012	01001004	Бог					y
01001004013	01001004	свет					y
01001004014	01001004	от					y
01001004015	01001004	тьмы	y				y
01001004016	01001004	.		y			n
01001005001	01001005	И					y
01001005002	01001005	назвал					y
01001005003	01001005	Бог					y
01001005004	01001005	свет					y
01001005005	01001005	днем	y				y
01001005006	01001005	,		y			n
01001005007	01001005	а					y
01001005008	01001005	тьму					y
01001005009	01001005	ночью	y				y
01001005010	01001005	.		y			n
01001005011	01001005	И					y
01001005012	01001005	был					y
01001005013	01001005	вечер	y				y
01001005014	01001005	,		y			n
01001005015	01001005	и					y
01001005016	01001005	было					y
01001005017	01001005	утро	y				y
01001005018	01001005	:		y			n
01001005019	01001005	день					y
01001005020	01001005	один	y				y
01001005021	01001005	.		y			n
01001006001	01001006	И					y
01001006002	01001006	сказал					y
01001006003	01001006	Бог	y				y
01001006004	01001006	:		y			n
01001006005	01001006	да					y
01001006006	01001006	будет					y
01001006007	01001006	твердь					y
01001006008	01001006	посреди					y
01001006009	01001006	воды	y				y
01001006010	01001006	,		y			n
01001006011	01001006	и					y
01001006012	01001006	да					y
01001006013	01001006	отделяет					y
01001006014	01001006	она					y
01001006015	01001006	воду					y
01001006016	01001006	от					y
01001006017	01001006	воды	y				y
01001006018	01001006	.		y			n
01001006019	01001006	[	y	y			n
01001006020	01001006	И		y			y
01001006021	01001006	стало		y			y
01001006022	01001006	так	y	y			y
01001006023	01001006	.	y	y			n
01001006024	01001006	]		y			n
01001007001	01001007	И					y
01001007002	01001007	создал					y
01001007003	01001007	Бог					y
01001007004	01001007	твердь	y				y
01001007005	01001007	,		y			n
01001007006	01001007	и					y
01001007007	01001007	отделил					y
01001007008	01001007	воду	y				y
01001007009	01001007	,		y			n
01001007010	01001007	которая					y
01001007011	01001007	под					y
01001007012	01001007	твердью	y				y
01001007013	01001007	,		y			n
01001007014	01001007	от					y
01001007015	01001007	воды	y				y
01001007016	01001007	,		y			n
01001007017	01001007	которая					y
01001007018	01001007	над					y
01001007019	01001007	твердью	y				y
01001007020	01001007	.		y			n
01001007021	01001007	И					y
01001007022	01001007	стало					y
01001007023	01001007	так	y				y
01001007024	01001007	.		y			n
01001008001	01001008	И					y
01001008002	01001008	назвал					y
01001008003	01001008	Бог					y
01001008004	01001008	твердь					y
01001008005	01001008	небом	y				y
01001008006	01001008	.		y			n
01001008007	01001008	[	y	y			n
01001008008	01001008	И		y			y
01001008009	01001008	увидел		y			y
01001008010	01001008	Бог	y	y			y
01001008011	01001008	,		y			n
01001008012	01001008	что		y			y
01001008013	01001008	это		y			y
01001008014	01001008	хорошо	y	y			y
01001008015	01001008	.	y	y			n
01001008016	01001008	]		y			n
01001008017	01001008	И					y
01001008018	01001008	был					y
01001008019	01001008	вечер	y				y
01001008020	01001008	,		y			n
01001008021	01001008	и					y
01001008022	01001008	было					y
01001008023	01001008	утро	y				y
01001008024	01001008	:		y			n
01001008025	01001008	день					y
01001008026	01001008	второй	y				y
01001008027	01001008	.		y			n
01001009001	01001009	И					y
01001009002	01001009	сказал					y
01001009003	01001009	Бог	y				y
01001009004	01001009	:		y			n
01001009005	01001009	да					y
01001009006	01001009	соберется					y
01001009007	01001009	вода	y				y
01001009008	01001009	,		y			n
01001009009	01001009	которая					y
01001009010	01001009	под					y
01001009011	01001009	небом	y				y
01001009012	01001009	,		y			n
01001009013	01001009	в					y
01001009014	01001009	одно					y
01001009015	01001009	место	y				y
01001009016	01001009	,		y			n
01001009017	01001009	и					y
01001009018	01001009	да					y
01001009019	01001009	явится					y
01001009020	01001009	суша	y				y
01001009021	01001009	.		y			n
01001009022	01001009	И					y
01001009023	01001009	стало					y
01001009024	01001009	так	y				y
01001009025	01001009	.		y			n
01001009026	01001009	[	y	y			n
01001009027	01001009	И		y			y
01001009028	01001009	собралась		y			y
01001009029	01001009	вода		y			y
01001009030	01001009	под		y			y
01001009031	01001009	небом		y			y
01001009032	01001009	в		y			y
01001009033	01001009	свои		y			y
01001009034	01001009	места	y	y			y
01001009035	01001009	,		y			n
01001009036	01001009	и		y			y
01001009037	01001009	явилась		y			y
01001009038	01001009	суша	y	y			y
01001009039	01001009	.	y	y			n
01001009040	01001009	]		y			n
01001010001	01001010	И					y
01001010002	01001010	назвал					y
01001010003	01001010	Бог					y
01001010004	01001010	сушу					y
01001010005	01001010	землею	y				y
01001010006	01001010	,		y			n
01001010007	01001010	а					y
01001010008	01001010	собрание					y
01001010009	01001010	вод					y
01001010010	01001010	назвал					y
01001010011	01001010	морями	y				y
01001010012	01001010	.		y			n
01001010013	01001010	И					y
01001010014	01001010	увидел					y
01001010015	01001010	Бог	y				y
01001010016	01001010	,		y			n
01001010017	01001010	что					y
01001010018	01001010	это					y
01001010019	01001010	хорошо	y				y
01001010020	01001010	.		y			n
01001011001	01001011	И					y
01001011002	01001011	сказал					y
01001011003	01001011	Бог	y				y
01001011004	01001011	:		y			n
01001011005	01001011	да					y
01001011006	01001011	произрастит					y
01001011007	01001011	земля					y
01001011008	01001011	зелень	y				y
01001011009	01001011	,		y			n
01001011010	01001011	траву	y				y
01001011011	01001011	,		y			n
01001011012	01001011	сеющую					y
01001011013	01001011	семя					y
01001011014	01001011	[	y	y			n
01001011015	01001011	по		y			y
01001011016	01001011	роду		y			y
01001011017	01001011	и		y			y
01001011018	01001011	по		y			y
01001011019	01001011	подобию		y			y
01001011020	01001011	ее	y	y			y
01001011021	01001011	,		y			n
01001011022	01001011	и	y	y			y
01001011023	01001011	]		y			n
01001011024	01001011	дерево					y
01001011025	01001011	плодовитое	y				y
01001011026	01001011	,		y			n
01001011027	01001011	приносящее					y
01001011028	01001011	по					y
01001011029	01001011	роду					y
01001011030	01001011	своему					y
01001011031	01001011	плод	y				y
01001011032	01001011	,		y			n
01001011033	01001011	в					y
01001011034	01001011	котором					y
01001011035	01001011	семя					y
01001011036	01001011	его					y
01001011037	01001011	на					y
01001011038	01001011	земле	y				y
01001011039	01001011	.		y			n
01001011040	01001011	И					y
01001011041	01001011	стало					y
01001011042	01001011	так	y				y
01001011043	01001011	.		y			n
01001012001	01001012	И					y
01001012002	01001012	произвела					y
01001012003	01001012	земля					y
01001012004	01001012	зелень	y				y
01001012005	01001012	,		y			n
01001012006	01001012	траву	y				y
01001012007	01001012	,		y			n
01001012008	01001012	сеющую					y
01001012009	01001012	семя					y
01001012010	01001012	по					y
01001012011	01001012	роду					y
01001012012	01001012	[	y	y			n
01001012013	01001012	и		y			y
01001012014	01001012	по		y			y
01001012015	01001012	подобию	y	y			y
01001012016	01001012	]		y			n
01001012017	01001012	ее	y				y
01001012018	01001012	,		y			n
01001012019	01001012	и					y
01001012020	01001012	дерево					y
01001012021	01001012	[	y	y			n
01001012022	01001012	плодовитое	y	y			y
01001012023	01001012	]	y	y			n
01001012024	01001012	,		y			n
01001012025	01001012	приносящее					y
01001012026	01001012	плод	y				y
01001012027	01001012	,		y			n
01001012028	01001012	в					y
01001012029	01001012	котором					y
01001012030	01001012	семя					y
01001012031	01001012	его					y
01001012032	01001012	по					y
01001012033	01001012	роду					y
01001012034	01001012	его					y
01001012035	01001012	[	y	y			n
01001012036	01001012	на		y			y
01001012037	01001012	земле	y	y			y
01001012038	01001012	]	y	y			n
01001012039	01001012	.		y			n
01001012040	01001012	И					y
01001012041	01001012	увидел					y
01001012042	01001012	Бог	y				y
01001012043	01001012	,		y			n
01001012044	01001012	что					y
01001012045	01001012	это					y
01001012046	01001012	хорошо	y				y
01001012047	01001012	.		y			n
01001013001	01001013	И					y
01001013002	01001013	был					y
01001013003	01001013	вечер	y				y
01001013004	01001013	,		y			n
01001013005	01001013	и					y
01001013006	01001013	было					y
01001013007	01001013	утро	y				y
01001013008	01001013	:		y			n
01001013009	01001013	день					y
01001013010	01001013	третий	y				y
01001013011	01001013	.		y			n
01001014001	01001014	И					y
01001014002	01001014	сказал					y
01001014003	01001014	Бог	y				y
01001014004	01001014	:		y			n
01001014005	01001014	да					y
01001014006	01001014	будут					y
01001014007	01001014	светила					y
01001014008	01001014	на					y
01001014009	01001014	тверди					y
01001014010	01001014	небесной					y
01001014011	01001014	[	y	y			n
01001014012	01001014	для		y			y
01001014013	01001014	освещения		y			y
