id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end	required
40001001001	40001001	Estos					y
40001001002	40001001	son					y
40001001003	40001001	los					y
40001001004	40001001	antepasados					y
40001001005	40001001	de					y
40001001006	40001001	Jesucristo	y				y
40001001007	40001001	,		y			n
40001001008	40001001	descendiente					y
40001001009	40001001	de					y
40001001010	40001001	David					y
40001001011	40001001	y					y
40001001012	40001001	de					y
40001001013	40001001	Abraham	y				y
40001001014	40001001	:		y			n
40001002001	40001002	Abraham					y
40001002002	40001002	fue					y
40001002003	40001002	el					y
40001002004	40001002	padre					y
40001002005	40001002	de					y
40001002006	40001002	Isaac	y				y
40001002007	40001002	,		y			n
40001002008	40001002	Isaac					y
40001002009	40001002	de					y
40001002010	40001002	Jacob					y
40001002011	40001002	y					y
40001002012	40001002	Jacob					y
40001002013	40001002	de					y
40001002014	40001002	Judá					y
40001002015	40001002	y					y
40001002016	40001002	sus					y
40001002017	40001002	hermanos	y				y
40001002018	40001002	.		y			n
40001003001	40001003	Judá					y
40001003002	40001003	tuvo					y
40001003003	40001003	con					y
40001003004	40001003	Tamar					y
40001003005	40001003	a					y
40001003006	40001003	Fares					y
40001003007	40001003	y					y
40001003008	40001003	a					y
40001003009	40001003	Zera	y				y
40001003010	40001003	;		y			n
40001003011	40001003	Fares					y
40001003012	40001003	fue					y
40001003013	40001003	el					y
40001003014	40001003	padre					y
40001003015	40001003	de					y
40001003016	40001003	Jezrón					y
40001003017	40001003	y					y
40001003018	40001003	Jezrón					y
40001003019	40001003	de					y
40001003020	40001003	Aram	y				y
40001003021	40001003	.		y			n
40001004001	40001004	Aram					y
40001004002	40001004	fue					y
40001004003	40001004	el					y
40001004004	40001004	padre					y
40001004005	40001004	de					y
40001004006	40001004	Aminadab	y				y
40001004007	40001004	,		y			n
40001004008	40001004	Aminadab					y
40001004009	40001004	de					y
40001004010	40001004	Naasón					y
40001004011	40001004	y					y
40001004012	40001004	Naasón					y
40001004013	40001004	de					y
40001004014	40001004	Salmón	y				y
40001004015	40001004	.		y			n
40001005001	40001005	Salmón					y
40001005002	40001005	tuvo					y
40001005003	40001005	con					y
40001005004	40001005	Rajab					y
40001005005	40001005	a					y
40001005006	40001005	Booz	y				y
40001005007	40001005	;		y			n
40001005008	40001005	Booz					y
40001005009	40001005	tuvo					y
40001005010	40001005	con					y
40001005011	40001005	Rut					y
40001005012	40001005	a					y
40001005013	40001005	Obed					y
40001005014	40001005	y					y
40001005015	40001005	Obed					y
40001005016	40001005	fue					y
40001005017	40001005	el					y
40001005018	40001005	padre					y
40001005019	40001005	de					y
40001005020	40001005	Isaí	y				y
40001005021	40001005	.		y			n
40001006001	40001006	Isaí					y
40001006002	40001006	fue					y
40001006003	40001006	el					y
40001006004	40001006	padre					y
40001006005	40001006	del					y
40001006006	40001006	rey					y
40001006007	40001006	David	y				y
40001006008	40001006	,		y			n
40001006009	40001006	y					y
40001006010	40001006	David					y
40001006011	40001006	tuvo					y
40001006012	40001006	a					y
40001006013	40001006	Salomón	y				y
40001006014	40001006	,		y			n
40001006015	40001006	cuya					y
40001006016	40001006	madre					y
40001006017	40001006	fue					y
40001006018	40001006	esposa					y
40001006019	40001006	de					y
40001006020	40001006	Urías	y				y
40001006021	40001006	.		y			n
40001007001	40001007	Salomón					y
40001007002	40001007	fue					y
40001007003	40001007	el					y
40001007004	40001007	padre					y
40001007005	40001007	de					y
40001007006	40001007	Roboán	y				y
40001007007	40001007	,		y			n
40001007008	40001007	Roboán					y
40001007009	40001007	de					y
40001007010	40001007	Abías					y
40001007011	40001007	y					y
40001007012	40001007	Abías					y
40001007013	40001007	de					y
40001007014	40001007	Asá	y				y
40001007015	40001007	.		y			n
40001008001	40001008	Asá					y
40001008002	40001008	fue					y
40001008003	40001008	el					y
40001008004	40001008	padre					y
40001008005	40001008	de					y
40001008006	40001008	Josafat	y				y
40001008007	40001008	,		y			n
40001008008	40001008	Josafat					y
40001008009	40001008	de					y
40001008010	40001008	Jorán					y
40001008011	40001008	y					y
40001008012	40001008	Jorán					y
40001008013	40001008	de					y
40001008014	40001008	Uzías	y				y
40001008015	40001008	.		y			n
40001009001	40001009	Uzías					y
40001009002	40001009	fue					y
40001009003	40001009	el					y
40001009004	40001009	padre					y
40001009005	40001009	de					y
