id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end	required
01001001001	01001001	En					y
01001001002	01001001	el					y
01001001003	01001001	principio					y
01001001004	01001001	creó					y
01001001005	01001001	Dios					y
01001001006	01001001	los					y
01001001007	01001001	cielos					y
01001001008	01001001	y					y
01001001009	01001001	la					y
01001001010	01001001	tierra	y				y
01001001011	01001001	.		y			n
01001002001	01001002	La					y
01001002002	01001002	tierra					y
01001002003	01001002	estaba					y
01001002004	01001002	desordenada					y
01001002005	01001002	y					y
01001002006	01001002	no					y
01001002007	01001002	tenía					y
01001002008	01001002	forma	y				y
01001002009	01001002	.		y			n
01001002010	01001002	La					y
01001002011	01001002	oscuridad					y
01001002012	01001002	cubría					y
01001002013	01001002	el					y
01001002014	01001002	profundo					y
01001002015	01001002	abismo	y				y
01001002016	01001002	,		y			n
01001002017	01001002	mientras					y
01001002018	01001002	que					y
01001002019	01001002	el					y
01001002020	01001002	Espíritu					y
01001002021	01001002	de					y
01001002022	01001002	Dios					y
01001002023	01001002	se					y
01001002024	01001002	movía					y
01001002025	01001002	sobre					y
01001002026	01001002	las					y
01001002027	01001002	aguas	y				y
01001002028	01001002	.		y			n
01001003001	01001003	Entonces					y
01001003002	01001003	Dios					y
01001003003	01001003	dijo	y				y
01001003004	01001003	:		y			n
01001003005	01001003	«	y	y			n
01001003006	01001003	¡	y	y			n
01001003007	01001003	Que					y
01001003008	01001003	aparezca					y
01001003009	01001003	la					y
01001003010	01001003	luz	y				y
01001003011	01001003	!	y	y			n
01001003012	01001003	»	y	y			n
01001003013	01001003	.		y			n
01001003014	01001003	Y					y
01001003015	01001003	apareció					y
01001003016	01001003	la					y
01001003017	01001003	luz	y				y
01001003018	01001003	.		y			n
01001004001	01001004	Dios					y
01001004002	01001004	vio					y
01001004003	01001004	que					y
01001004004	01001004	la					y
01001004005	01001004	luz					y
01001004006	01001004	era					y
01001004007	01001004	hermosa	y				y
01001004008	01001004	,		y			n
01001004009	01001004	y					y
01001004010	01001004	la					y
01001004011	01001004	separó					y
01001004012	01001004	de					y
01001004013	01001004	la					y
01001004014	01001004	oscuridad	y				y
01001004015	01001004	.		y			n
01001005001	01001005	A					y
01001005002	01001005	la					y
01001005003	01001005	luz					y
01001005004	01001005	Dios					y
01001005005	01001005	la					y
01001005006	01001005	llamó					y
01001005007	01001005	«	y	y			n
01001005008	01001005	día	y				y
01001005009	01001005	»	y	y			n
01001005010	01001005	,		y			n
01001005011	01001005	y					y
01001005012	01001005	a					y
01001005013	01001005	la					y
01001005014	01001005	oscuridad					y
01001005015	01001005	la					y
01001005016	01001005	llamó					y
01001005017	01001005	«	y	y			n
01001005018	01001005	noche	y				y
01001005019	01001005	»	y	y			n
01001005020	01001005	.		y			n
01001005021	01001005	Pasó					y
01001005022	01001005	la					y
01001005023	01001005	tarde					y
01001005024	01001005	y					y
01001005025	01001005	pasó					y
01001005026	01001005	la					y
01001005027	01001005	mañana	y				y
01001005028	01001005	,		y			n
01001005029	01001005	y					y
01001005030	01001005	se					y
01001005031	01001005	completó	y				y
01001005032	01001005	,		y			n
01001005033	01001005	así	y				y
01001005034	01001005	,		y			n
01001005035	01001005	el					y
01001005036	01001005	primer					y
01001005037	01001005	día	y				y
01001005038	01001005	.		y			n
01001006001	01001006	Después					y
01001006002	01001006	Dios					y
01001006003	01001006	dijo	y				y
01001006004	01001006	:		y			n
01001006005	01001006	«	y	y			n
01001006006	01001006	Que					y
01001006007	01001006	aparezca					y
01001006008	01001006	el					y
01001006009	01001006	firmamento					y
01001006010	01001006	en					y
01001006011	01001006	medio					y
01001006012	01001006	de					y
01001006013	01001006	las					y
01001006014	01001006	aguas	y				y
01001006015	01001006	,		y			n
01001006016	01001006	para					y
01001006017	01001006	que					y
01001006018	01001006	las					y
01001006019	01001006	separe	y				y
01001006020	01001006	»	y	y			n
01001006021	01001006	.		y			n
01001007001	01001007	Así					y
01001007002	01001007	que					y
01001007003	01001007	Dios					y
01001007004	01001007	hizo					y
01001007005	01001007	el					y
01001007006	01001007	firmamento	y				y
01001007007	01001007	,		y			n
01001007008	01001007	para					y
01001007009	01001007	separar					y
01001007010	01001007	las					y
01001007011	01001007	aguas	y				y
01001007012	01001007	.		y			n
01001007013	01001007	De					y
01001007014	01001007	modo					y
01001007015	01001007	que					y
01001007016	01001007	una					y
01001007017	01001007	parte					y
01001007018	01001007	de					y
01001007019	01001007	las					y
01001007020	01001007	aguas					y
01001007021	01001007	quedó					y
01001007022	01001007	arriba					y
01001007023	01001007	del					y
01001007024	01001007	firmamento					y
01001007025	01001007	y					y
01001007026	01001007	otra	y				y
01001007027	01001007	,		y			n
01001007028	01001007	debajo					y
01001007029	01001007	de					y
01001007030	01001007	él	y				y
01001007031	01001007	.		y			n
01001008001	01001008	Al					y
01001008002	01001008	firmamento					y
01001008003	01001008	Dios					y
01001008004	01001008	lo					y
01001008005	01001008	llamó					y
01001008006	01001008	«	y	y			n
01001008007	01001008	cielo	y				y
01001008008	01001008	»	y	y			n
01001008009	01001008	.		y			n
01001008010	01001008	Pasó					y
01001008011	01001008	la					y
01001008012	01001008	tarde					y
01001008013	01001008	y					y
01001008014	01001008	pasó					y
01001008015	01001008	la					y
01001008016	01001008	mañana	y				y
01001008017	01001008	,		y			n
01001008018	01001008	y					y
01001008019	01001008	se					y
01001008020	01001008	completó	y				y
01001008021	01001008	,		y			n
01001008022	01001008	así	y				y
01001008023	01001008	,		y			n
01001008024	01001008	el					y
01001008025	01001008	segundo					y
01001008026	01001008	día	y				y
01001008027	01001008	.		y			n
01001009001	01001009	Después					y
01001009002	01001009	Dios					y
01001009003	01001009	dijo	y				y
01001009004	01001009	:		y			n
01001009005	01001009	«	y	y			n
01001009006	01001009	Que					y
01001009007	01001009	las					y
01001009008	01001009	aguas					y
01001009009	01001009	que					y
01001009010	01001009	están					y
01001009011	01001009	debajo					y
01001009012	01001009	del					y
01001009013	01001009	cielo					y
01001009014	01001009	se					y
01001009015	01001009	junten					y
01001009016	01001009	en					y
01001009017	01001009	un					y
01001009018	01001009	solo					y
01001009019	01001009	lugar	y				y
01001009020	01001009	,		y			n
01001009021	01001009	de					y
01001009022	01001009	modo					y
01001009023	01001009	que					y
01001009024	01001009	la					y
01001009025	01001009	otra					y
01001009026	01001009	parte					y
01001009027	01001009	quede					y
01001009028	01001009	seca	y				y
01001009029	01001009	»	y	y			n
01001009030	01001009	.		y			n
01001009031	01001009	Y					y
01001009032	01001009	así					y
01001009033	01001009	ocurrió	y				y
01001009034	01001009	.		y			n
01001010001	01001010	A					y
01001010002	01001010	la					y
01001010003	01001010	parte					y
01001010004	01001010	seca					y
01001010005	01001010	Dios					y
01001010006	01001010	le					y
01001010007	01001010	dio					y
01001010008	01001010	el					y
01001010009	01001010	nombre					y
01001010010	01001010	de					y
01001010011	01001010	«	y	y			n
01001010012	01001010	tierra	y				y
01001010013	01001010	»	y	y			n
01001010014	01001010	,		y			n
01001010015	01001010	y					y
01001010016	01001010	a					y
01001010017	01001010	las					y
01001010018	01001010	aguas					y
01001010019	01001010	las					y
01001010020	01001010	llamó					y
01001010021	01001010	«	y	y			n
01001010022	01001010	mares	y				y
01001010023	01001010	»	y	y			n
01001010024	01001010	.		y			n
01001010025	01001010	Dios					y
01001010026	01001010	vio					y
01001010027	01001010	que					y
01001010028	01001010	todo					y
01001010029	01001010	esto					y
01001010030	01001010	era					y
