id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end
40001001001	40001001	Dispela				
40001001002	40001001	em				
40001001003	40001001	i				
40001001004	40001001	tok				
40001001005	40001001	long				
40001001006	40001001	ol				
40001001007	40001001	lain				
40001001008	40001001	tumbuna				
40001001009	40001001	bilong				
40001001010	40001001	Jisas				
40001001011	40001001	Krais	y			
40001001012	40001001	.		y		
40001001013	40001001	Jisas				
40001001014	40001001	em				
40001001015	40001001	i				
40001001016	40001001	bilong				
40001001017	40001001	lain				
40001001018	40001001	bilong				
40001001019	40001001	Devit				
40001001020	40001001	na				
40001001021	40001001	Devit				
40001001022	40001001	em				
40001001023	40001001	i				
40001001024	40001001	bilong				
40001001025	40001001	lain				
40001001026	40001001	bilong				
40001001027	40001001	Abraham	y			
40001001028	40001001	.		y		
40001002001	40001002	Abraham				
40001002002	40001002	em				
40001002003	40001002	i				
40001002004	40001002	papa				
40001002005	40001002	bilong				
40001002006	40001002	Aisak	y			
40001002007	40001002	.		y		
40001002008	40001002	Na				
40001002009	40001002	Aisak				
40001002010	40001002	em				
40001002011	40001002	i				
40001002012	40001002	papa				
40001002013	40001002	bilong				
40001002014	40001002	Jekop	y			
40001002015	40001002	.		y		
40001002016	40001002	Na				
40001002017	40001002	Jekop				
40001002018	40001002	em				
40001002019	40001002	i				
40001002020	40001002	papa				
40001002021	40001002	bilong				
40001002022	40001002	Juda				
40001002023	40001002	wantaim				
40001002024	40001002	ol				
40001002025	40001002	brata				
40001002026	40001002	bilong				
40001002027	40001002	en	y			
40001002028	40001002	.		y		
40001003001	40001003	Juda				
40001003002	40001003	em				
40001003003	40001003	i				
40001003004	40001003	papa				
40001003005	40001003	bilong				
40001003006	40001003	Peres				
40001003007	40001003	wantaim				
40001003008	40001003	Sera	y			
40001003009	40001003	.		y		
40001003010	40001003	Mama				
40001003011	40001003	bilong				
40001003012	40001003	tupela				
40001003013	40001003	em				
40001003014	40001003	Tamar	y			
40001003015	40001003	.		y		
40001003016	40001003	Na				
40001003017	40001003	Peres				
40001003018	40001003	em				
40001003019	40001003	i				
40001003020	40001003	papa				
40001003021	40001003	bilong				
40001003022	40001003	Hesron	y			
40001003023	40001003	.		y		
40001003024	40001003	Na				
40001003025	40001003	Hesron				
40001003026	40001003	em				
40001003027	40001003	i				
40001003028	40001003	papa				
40001003029	40001003	bilong				
40001003030	40001003	Ram	y			
40001003031	40001003	.		y		
40001004001	40001004	Na				
40001004002	40001004	Ram				
40001004003	40001004	em				
40001004004	40001004	i				
40001004005	40001004	papa				
40001004006	40001004	bilong				
40001004007	40001004	Aminadap	y			
40001004008	40001004	.		y		
40001004009	40001004	Na				
40001004010	40001004	Aminadap				
40001004011	40001004	em				
40001004012	40001004	i				
40001004013	40001004	papa				
40001004014	40001004	bilong				
40001004015	40001004	Nason	y			
40001004016	40001004	.		y		
40001004017	40001004	Na				
40001004018	40001004	Nason				
40001004019	40001004	em				
40001004020	40001004	i				
40001004021	40001004	papa				
40001004022	40001004	bilong				
40001004023	40001004	Salmon	y			
40001004024	40001004	.		y		
40001005001	40001005	Na				
40001005002	40001005	Salmon				
40001005003	40001005	em				
40001005004	40001005	i				
40001005005	40001005	papa				
40001005006	40001005	bilong				
40001005007	40001005	Boas	y			
40001005008	40001005	.		y		
40001005009	40001005	Mama				
40001005010	40001005	bilong				
40001005011	40001005	en				
40001005012	40001005	em				
40001005013	40001005	Rahap	y			
40001005014	40001005	.		y		
40001005015	40001005	Na				
40001005016	40001005	Boas				
40001005017	40001005	em				
40001005018	40001005	i				
40001005019	40001005	papa				
40001005020	40001005	bilong				
40001005021	40001005	Obet	y			
40001005022	40001005	.		y		
40001005023	40001005	Mama				
40001005024	40001005	bilong				
40001005025	40001005	en				
40001005026	40001005	em				
40001005027	40001005	Rut	y			
40001005028	40001005	.		y		
40001005029	40001005	Na				
40001005030	40001005	Obet				
40001005031	40001005	em				
40001005032	40001005	i				
40001005033	40001005	papa				
40001005034	40001005	bilong				
40001005035	40001005	Jesi	y			
40001005036	40001005	.		y		
40001006001	40001006	Na				
40001006002	40001006	Jesi				
40001006003	40001006	em				
40001006004	40001006	i				
40001006005	40001006	papa				
40001006006	40001006	bilong				
40001006007	40001006	King				
40001006008	40001006	Devit	y			
40001006009	40001006	.		y		
40001006010	40001006	Na				
40001006011	40001006	Devit				
40001006012	40001006	em				
40001006013	40001006	i				
40001006014	40001006	papa				
40001006015	40001006	bilong				
40001006016	40001006	Solomon	y			
40001006017	40001006	.		y		
40001006018	40001006	Mama				
40001006019	40001006	bilong				
40001006020	40001006	Solomon				
40001006021	40001006	bipo				
40001006022	40001006	em				
40001006023	40001006	i				
40001006024	40001006	bin				
40001006025	40001006	i				
40001006026	40001006	stap				
40001006027	40001006	meri				
40001006028	40001006	bilong				
40001006029	40001006	Uria	y			
40001006030	40001006	.		y		
40001007001	40001007	Na				
40001007002	40001007	Solomon				
40001007003	40001007	em				
40001007004	40001007	i				
40001007005	40001007	papa				
40001007006	40001007	bilong				
40001007007	40001007	Rehoboam	y			
40001007008	40001007	.		y		
40001007009	40001007	Na				
40001007010	40001007	Rehoboam				
40001007011	40001007	em				
40001007012	40001007	i				
40001007013	40001007	papa				
40001007014	40001007	bilong				
40001007015	40001007	Abiya	y			
40001007016	40001007	.		y		
40001007017	40001007	Na				
40001007018	40001007	Abiya				
40001007019	40001007	em				
40001007020	40001007	i				
40001007021	40001007	papa				
40001007022	40001007	bilong				
40001007023	40001007	Asa	y			
40001007024	40001007	.		y		
40001008001	40001008	Na				
40001008002	40001008	Asa				
40001008003	40001008	em				
40001008004	40001008	i				
40001008005	40001008	papa				
40001008006	40001008	bilong				
40001008007	40001008	Jehosafat	y			
40001008008	40001008	.		y		
40001008009	40001008	Na				
40001008010	40001008	Jehosafat				
40001008011	40001008	em				
40001008012	40001008	i				
40001008013	40001008	papa				
40001008014	40001008	bilong				
40001008015	40001008	Jehoram	y			
40001008016	40001008	.		y		
40001008017	40001008	Na				
40001008018	40001008	Jehoram				
40001008019	40001008	em				
40001008020	40001008	i				
40001008021	40001008	papa				
40001008022	40001008	bilong				
40001008023	40001008	Usia	y			
40001008024	40001008	.		y		
40001009001	40001009	Na				
40001009002	40001009	Usia				
40001009003	40001009	em				
40001009004	40001009	i				
40001009005	40001009	papa				
40001009006	40001009	bilong				
40001009007	40001009	Jotam	y			
40001009008	40001009	.		y		
40001009009	40001009	Na				
40001009010	40001009	Jotam				
40001009011	40001009	em				
40001009012	40001009	i				
40001009013	40001009	papa				
40001009014	40001009	bilong				
40001009015	40001009	Ahas	y			
40001009016	40001009	.		y		
40001009017	40001009	Na				
40001009018	40001009	Ahas				
40001009019	40001009	em				
40001009020	40001009	i				
40001009021	40001009	papa				
40001009022	40001009	bilong				
40001009023	40001009	Hesekia	y			
40001009024	40001009	.		y		
40001010001	40001010	Na				
40001010002	40001010	Hesekia				
40001010003	40001010	em				
40001010004	40001010	i				
40001010005	40001010	papa				
40001010006	40001010	bilong				
40001010007	40001010	Manase	y			
40001010008	40001010	.		y		
40001010009	40001010	Na				
40001010010	40001010	Manase				
40001010011	40001010	em				
40001010012	40001010	i				
40001010013	40001010	papa				
40001010014	40001010	bilong				
40001010015	40001010	Emon	y			
40001010016	40001010	.		y		
40001010017	40001010	Na				
40001010018	40001010	Emon				
40001010019	40001010	em				
40001010020	40001010	i				
40001010021	40001010	papa				
40001010022	40001010	bilong				
40001010023	40001010	Josaia	y			
40001010024	40001010	.		y		
40001011001	40001011	Na				
40001011002	40001011	Josaia				
40001011003	40001011	em				
40001011004	40001011	i				
40001011005	40001011	papa				
40001011006	40001011	bilong				
40001011007	40001011	Jehoiakin				
40001011008	40001011	wantaim				
40001011009	40001011	ol				
40001011010	40001011	brata				
40001011011	40001011	bilong				
40001011012	40001011	en	y			
40001011013	40001011	.		y		
40001011014	40001011	Long				
40001011015	40001011	dispela				
40001011016	40001011	taim				
40001011017	40001011	ol				
40001011018	40001011	Israel				
40001011019	40001011	i				
40001011020	40001011	go				
40001011021	40001011	kalabus				
40001011022	40001011	long				
40001011023	40001011	Babilon	y			
40001011024	40001011	.		y		
40001012001	40001012	Stat				
40001012002	40001012	long				
40001012003	40001012	taim				
40001012004	40001012	ol				
40001012005	40001012	i				
40001012006	40001012	go				
40001012007	40001012	kalabus				
40001012008	40001012	long				
40001012009	40001012	Babilon	y			
40001012010	40001012	,		y		
40001012011	40001012	orait				
40001012012	40001012	Jehoiakin				
40001012013	40001012	em				
40001012014	40001012	i				
40001012015	40001012	papa				
40001012016	40001012	bilong				
40001012017	40001012	Sealtiel	y			
40001012018	40001012	.		y		
40001012019	40001012	Na				
40001012020	40001012	Sealtiel				
40001012021	40001012	em				
40001012022	40001012	i				
40001012023	40001012	papa				
40001012024	40001012	bilong				
40001012025	40001012	Serubabel	y			
40001012026	40001012	.		y		
40001013001	40001013	Na				
40001013002	40001013	Serubabel				
40001013003	40001013	em				
40001013004	40001013	i				
40001013005	40001013	papa				
40001013006	40001013	bilong				
40001013007	40001013	Abiut	y			
40001013008	40001013	.		y		
40001013009	40001013	Na				
40001013010	40001013	Abiut				
40001013011	40001013	em				
40001013012	40001013	i				
40001013013	40001013	papa				
40001013014	40001013	bilong				
40001013015	40001013	Eliakim	y			
40001013016	40001013	.		y		
40001013017	40001013	Na				
40001013018	40001013	Eliakim				
40001013019	40001013	em				
40001013020	40001013	i				
40001013021	40001013	papa				
40001013022	40001013	bilong				
40001013023	40001013	Asor	y			
40001013024	40001013	.		y		
40001014001	40001014	Na				
40001014002	40001014	Asor				
40001014003	40001014	em				
40001014004	40001014	i				
40001014005	40001014	papa				
40001014006	40001014	bilong				
40001014007	40001014	Sadok	y			
40001014008	40001014	.		y		
40001014009	40001014	Na				
40001014010	40001014	Sadok				
40001014011	40001014	em				
40001014012	40001014	i				
40001014013	40001014	papa				
40001014014	40001014	bilong				
40001014015	40001014	Akim	y			
40001014016	40001014	.		y		
40001014017	40001014	Na				
40001014018	40001014	Akim				
40001014019	40001014	em				
40001014020	40001014	i				
40001014021	40001014	papa				
40001014022	40001014	bilong				
40001014023	40001014	Eliut	y			
40001014024	40001014	.		y		
40001015001	40001015	Na				
40001015002	40001015	Eliut				
40001015003	40001015	em				
40001015004	40001015	i				
40001015005	40001015	papa				
40001015006	40001015	bilong				
40001015007	40001015	Eleasar	y			
40001015008	40001015	.		y		
40001015009	40001015	Na				
40001015010	40001015	Eleasar				
40001015011	40001015	em				
40001015012	40001015	i				
40001015013	40001015	papa				
40001015014	40001015	bilong				
40001015015	40001015	Matan	y			
40001015016	40001015	.		y		
40001015017	40001015	Na				
40001015018	40001015	Matan				
40001015019	40001015	em				
40001015020	40001015	i				
40001015021	40001015	papa				
40001015022	40001015	bilong				
40001015023	40001015	Jekop	y			
40001015024	40001015	.		y		
40001016001	40001016	Na				
40001016002	40001016	Jekop				
40001016003	40001016	em				
40001016004	40001016	i				
40001016005	40001016	papa				
40001016006	40001016	bilong				
40001016007	40001016	Josep	y			
40001016008	40001016	.		y		
40001016009	40001016	Na				
40001016010	40001016	Josep				
40001016011	40001016	em				
40001016012	40001016	i				
40001016013	40001016	man				
40001016014	40001016	bilong				
40001016015	40001016	Maria	y			
40001016016	40001016	.		y		
40001016017	40001016	Na				
40001016018	40001016	Maria				
40001016019	40001016	i				
40001016020	40001016	karim				
40001016021	40001016	Jisas	y			
40001016022	40001016	,		y		
40001016023	40001016	ol				
40001016024	40001016	i				
40001016025	40001016	save				
40001016026	40001016	kolim				
40001016027	40001016	em				
40001016028	40001016	Krais	y			
40001016029	40001016	,		y		
40001016030	40001016	em				
40001016031	40001016	man				
40001016032	40001016	God				
40001016033	40001016	i				
40001016034	40001016	makim				
40001016035	40001016	bilong				
40001016036	40001016	kisim				
40001016037	40001016	bek				
40001016038	40001016	ol				
40001016039	40001016	manmeri				
40001016040	40001016	bilong				
40001016041	40001016	en	y			
40001016042	40001016	.		y		
40001017001	40001017	Olsem				
40001017002	40001017	na				
40001017003	40001017	olgeta				
40001017004	40001017	lain				
40001017005	40001017	bilong				
40001017006	40001017	Abraham	y			
40001017007	40001017	,		y		
40001017008	40001017	i				
40001017009	40001017	kam				
40001017010	40001017	inap				
40001017011	40001017	long				
40001017012	40001017	Devit	y			
40001017013	40001017	,		y		
40001017014	40001017	em				
40001017015	40001017	i				
40001017016	40001017	14				
40001017017	40001017	lain	y			
